,Epsilons,A_0,E/M
0.1,-0.16958632344566602,-0.01663448810999093,0.9915206838277167
0.171,-0.17505690139293026,-0.02964385864884112,0.9850326349309044
0.242,-0.18123491427363567,-0.043888122159325166,0.9780705753728901
0.313,-0.1883209524649227,-0.05966967393039463,0.9705277709392396
0.384,-0.19661165320898782,-0.07742949154297961,0.9622505625838743
0.456,-0.2067359649933945,-0.09816574274525747,0.9528641999815061
0.527,-0.21925143925502086,-0.12249081629593402,0.942227245756302
0.598,-0.23598677952413763,-0.15300736346317528,0.9294399529222829
0.669,-0.261573607357537,-0.19584522948870728,0.9125036283389039
0.74,-0.34153020814796514,-0.30745783434965324,0.8736338229852529
