,Epsilons,A_0,E/M
0.01,-0.16340121028702853,-0.0015855145160723566,0.9991829939485649
0.02,-0.16404065608835441,-0.0031871596669404176,0.9983595934391165
0.03,-0.16468319989650654,-0.00480521800549916,0.9975297520015524
0.04,-0.16534468888532858,-0.006440298855015037,0.9966931062222935
0.05,-0.16600797441567275,-0.008092512398653594,0.9958498006396082
0.06,-0.16668720662093386,-0.009762573690139121,0.994999383801372
0.07,-0.16736825123482169,-0.011450503002778521,0.9941421112067812
0.08,-0.1680671770774884,-0.013157258171900327,0.9932773129169005
0.09,-0.16877582124976442,-0.014883035802392842,0.9924050880437606
0.1,-0.16949548654050128,-0.01662835690199078,0.991525225672975
0.1,-0.1694954016734766,-0.016628356481518065,0.9915252299163262
0.2,-0.1773577473384587,-0.035277193149379105,0.9822642252661541
0.3,-0.18677427831579427,-0.056602596609500434,0.9719838582526309
0.4,-0.19849519286807132,-0.08168861956214546,0.9603009614263858
0.5,-0.2138230673591916,-0.11251691918983826,0.9465442331602021
0.6,-0.2360769481598029,-0.15365087070295821,0.9291769155520592
0.7,-0.2781696040564405,-0.2222163135647464,0.9026406385802458
0.71,-0.2856953773320744,-0.23344200694436854,0.8985781410471136
0.72,-0.29505064751184185,-0.2469284610239338,0.893781766895737
0.73,-0.3075712495239079,-0.2644117973834927,0.8877364939237736
0.74,-0.32967990288430443,-0.29368729950953704,0.8780184359328074
0.7403,-0.33088315094778165,-0.29518202094023666,0.8775236016766786
0.7406,-0.3320669799975895,-0.29672804499420896,0.8770355973068926
0.7409,-0.33344438591641723,-0.2984362315632058,0.8764755272372633
0.7412,-0.3348691918793958,-0.3002401651701693,0.8758974774894959
0.7415,-0.3365080298197583,-0.3022991877181912,0.8752396479443246
0.7418,-0.3383606555401862,-0.30461208201839934,0.8745020328601449
0.7421,-0.34050354361813057,-0.3072808457495612,0.8736561601404926
0.7424,-0.3433704965773985,-0.3108179550853055,0.8725408716704697
0.7427,-0.348230829627001,-0.31675494970459567,0.8706844814180131
