,Epsilons,A_0,E/M
0.01,-0.16340121028702853,-0.0015855145160723566,0.9991829939485649
0.02,-0.16404065608835441,-0.0031871596669404176,0.9983595934391165
0.03,-0.16468319989650654,-0.00480521800549916,0.9975297520015524
0.04,-0.16534468888532858,-0.006440298855015037,0.9966931062222935
0.05,-0.16600797441567275,-0.008092512398653594,0.9958498006396082
0.06,-0.16668720662093386,-0.009762573690139121,0.994999383801372
0.07,-0.16736825123482169,-0.011450503002778521,0.9941421112067812
0.08,-0.1680671770774884,-0.013157258171900327,0.9932773129169005
0.09,-0.16877582124976442,-0.014883035802392842,0.9924050880437606
0.1,-0.16949548654050128,-0.01662835690199078,0.991525225672975
0.1,-0.1694954016734766,-0.016628356481518065,0.9915252299163262
0.2,-0.1773577473384587,-0.035277193149379105,0.9822642252661541
0.3,-0.18677427831579427,-0.056602596609500434,0.9719838582526309
0.4,-0.19849519286807132,-0.08168861956214546,0.9603009614263858
0.5,-0.2138230673591916,-0.11251691918983826,0.9465442331602021
0.6,-0.2360769481598029,-0.15365087070295821,0.9291769155520592
0.7,-0.2781696040564405,-0.2222163135647464,0.9026406385802458
0.71,-0.2856953773320744,-0.23344200694436854,0.8985781410471136
0.72,-0.29505064751184185,-0.2469284610239338,0.893781766895737
0.73,-0.3075712495239079,-0.2644117973834927,0.8877364939237736
0.74,-0.32967990288430443,-0.29368729950953704,0.8780184359328074
0.74006,-0.3299201926627497,-0.2939809529659423,0.8779196311090027
0.74011,-0.33009264642447417,-0.29421587519132425,0.8778475657273912
0.74017,-0.33033306475197033,-0.2945137891705222,0.877748687731267
0.74022,-0.33054074569083564,-0.29475014281458556,0.8776635646123648
0.74028,-0.33075724718198724,-0.2950592245290828,0.8775735125280593
0.74033,-0.330994188615582,-0.29532597851079617,0.8774775361711131
0.74039,-0.33121600470027146,-0.2956111994733092,0.877385491139983
0.74044,-0.331417603830388,-0.29586797374083124,0.8773025747099138
0.7405,-0.33165830759675125,-0.2961981062059129,0.8772035116123028
0.74055,-0.33186708697203166,-0.2964638646211545,0.8771179143714309
0.74061,-0.332126271017035,-0.2967890827878968,0.8770119812110369
0.74066,-0.3323230971468921,-0.2970546410921624,0.8769307874335914
0.74072,-0.33259288398236836,-0.29739014353373705,0.87682089948829
0.74077,-0.33285853060522136,-0.29769198578197975,0.8767141931417851
0.74083,-0.33310589087160913,-0.29802170647475573,0.8766125814327929
0.74088,-0.3333553143050229,-0.2983224731596808,0.8765118573688473
0.74094,-0.3335979591637269,-0.29865723246505976,0.8764119640686141
0.74099,-0.3338183125389051,-0.2989491029773268,0.8763219842958984
0.74105,-0.33416552652995946,-0.2993401649173149,0.8761833182824867
0.7411,-0.33435343899616154,-0.2996225515458122,0.8761053331799723
0.74116,-0.3346618952212298,-0.30000322005472985,0.8759809948689167
0.74121,-0.3349679732639096,-0.30033986237243926,0.8758591942685288
0.74127,-0.33528692602897636,-0.3007396895847119,0.8757309301712504
0.74132,-0.33549521502057256,-0.3010265136192894,0.8756453436004745
0.74138,-0.3358487279623663,-0.30146759849558324,0.8755042350316304
0.74143,-0.3361186752632442,-0.30180992661409545,0.8753957652997865
0.74149,-0.3364276995322024,-0.3022009049876152,0.8752711125369336
0.74154,-0.33671492247159335,-0.3025610841559432,0.8751562081952073
0.7416,-0.33706754861393584,-0.3029941021656406,0.8750153529739526
0.74165,-0.3373729934932478,-0.3033847079580545,0.8748936596878664
0.74171,-0.33778391613033815,-0.3038913174291881,0.8747311457834834
0.74176,-0.33809828147936716,-0.3042851084779304,0.8746061093649323
0.74182,-0.33849354330132064,-0.3047777785727553,0.8744493598541072
0.74187,-0.338793284013291,-0.30515553895260544,0.8743297131945299
0.74193,-0.33925476224821255,-0.30572604057393427,0.8741483571225919
0.74198,-0.3395798803931034,-0.30613428675986326,0.8740192601729626
0.74204,-0.340027894413964,-0.30672660090296644,0.873842850614531
0.74209,-0.3404191523538136,-0.3071766134570629,0.8736891756148792
0.74215,-0.3409107458601368,-0.30778823367012687,0.8734965449799498
0.7422,-0.3413433134997087,-0.3083326298419361,0.8733274963602581
0.74226,-0.34194212936538304,-0.30905762013764787,0.8730950175286254
0.74231,-0.3424302646724298,-0.3096588176371372,0.8729052951155043
0.74237,-0.3429769161411983,-0.3103365117585224,0.8726921133821293
0.74242,-0.34353539382046683,-0.3110245718029294,0.8724762264599045
0.74248,-0.3443207669132763,-0.3119844480170205,0.8721743584911152
0.74253,-0.3449181577338326,-0.3127205565222157,0.8719439601689486
0.74259,-0.3458141304251893,-0.31381715031703894,0.8716009424437794
0.74264,-0.3468184625796633,-0.31504706099938357,0.8712193684749194
0.7427,-0.3480912834636214,-0.3165897466378139,0.8707363018857842
