,Epsilons,A_0,E/M
0.01,-0.1634002125787425,-0.0015855061213788215,0.9991829989371063
0.02,-0.1640396452627778,-0.0031871425738701515,0.9983596035473722
0.03,-0.16468217418664363,-0.004805191872483827,0.9975297673872003
0.04,-0.16534364704994967,-0.006440263313242838,0.996693127059001
0.05,-0.16600691631955705,-0.00809246707534016,0.9958498270920111
0.06,-0.16668613133950505,-0.009762518173868619,0.9949994160598149
0.07,-0.16736715868838556,-0.011450436884886714,0.9941421494459065
0.08,-0.16806606615423525,-0.013157180985103217,0.9932773573538306
0.09,-0.16877469136856665,-0.014882947072161845,0.9924051388884145
0.1,-0.1694943370122305,-0.01662825612220598,0.9915252831493885
0.1,-0.1694942521627258,-0.01662825570180253,0.9915252873918637
0.2,-0.1773563583854041,-0.035276936718733214,0.9822643641614596
0.3,-0.1867725363156876,-0.056602085179933405,0.9719841195526469
0.4,-0.19849288376010837,-0.08168765635660574,0.9603014232479783
0.5,-0.21381975976893372,-0.11251506166861722,0.9465450600577666
0.6,-0.23607137896462643,-0.15364677881913288,0.9291785863106121
0.7,-0.2781541093068581,-0.22220110723648342,0.9026460617425996
0.71,-0.28567666305076356,-0.23342304736601135,0.898584784616979
0.72,-0.29502598221421017,-0.24690273977389612,0.8937906464028843
0.73,-0.30753271763172196,-0.26436986075734376,0.8877505580644215
0.74,-0.32959122480641684,-0.2935813259235438,0.8780512468216257
0.74014,-0.3301410128111636,-0.2942632049729329,0.8778247153889727
0.74028,-0.3306740729750351,-0.29495080418684544,0.8776042986290205
0.74043,-0.33127347414187747,-0.2957142724942826,0.8773575907705649
0.74057,-0.3318578792704351,-0.2964525628749225,0.8771180051743469
0.74071,-0.3324347134681622,-0.2972041949403735,0.8768811416934987
0.74085,-0.33307174221441155,-0.2979986837643132,0.8766218998902267
0.74099,-0.3337154395407073,-0.2988160017164402,0.8763600982273656
0.74114,-0.3344699098733571,-0.299744310938952,0.8760554854982301
0.74128,-0.3351585604816081,-0.3006292104320525,0.8757768311430968
0.74142,-0.3359193338512984,-0.3015721766835429,0.8754713437479852
0.74156,-0.33671056516323256,-0.30256279943989894,0.8751544566487767
0.74171,-0.3375941539816185,-0.30368716742552443,0.8748015200251469
0.74185,-0.3385225840573,-0.3048269038313727,0.874433510508546
0.74199,-0.3395024096484058,-0.3060466470265981,0.8740463035324897
0.74213,-0.340537559346129,-0.30734684390564015,0.8736384305412286
0.74227,-0.34173897309618256,-0.3088342105145958,0.8731687062199482
0.74242,-0.3433040133082451,-0.3107486167439021,0.8725621172198463
0.74256,-0.3449721478939772,-0.31279970576249716,0.8719187409299242
0.7427,-0.34741531230096007,-0.3157816722886458,0.8709873237770385
