,Epsilons,A_0,E/M
0.01,-0.1634095630266889,-0.001585556317560684,0.9991829521848665
0.02,-0.16404894270108866,-0.00318724265005239,0.9983595105729891
0.03,-0.16469734653096776,-0.004805430859931158,0.9975295398020355
0.04,-0.16535504549725155,-0.006440507646831984,0.996692899090055
0.05,-0.166022190913077,-0.008092869465320583,0.9958494452271731
0.06,-0.16669915730733947,-0.009762935890430459,0.9949990252807798
0.07,-0.16738615728572914,-0.011451135768482917,0.9941414844949995
0.08,-0.16808347340698815,-0.01315791692028861,0.9932766610637205
0.09,-0.16879134093870163,-0.014883740102430217,0.9924043896577585
0.1,-0.1695101825959394,-0.01662909859796139,0.991524490870203
0.1,-0.16951028482864938,-0.016629106791535328,0.9915244857585676
0.2,-0.17737661809406638,-0.0352791179324498,0.9822623381905934
0.3,-0.18680051758781574,-0.056606646508243465,0.9719799223618276
0.4,-0.1984967508807563,-0.08168896382108523,0.9603006498238488
0.5,-0.21383562358030497,-0.1125202479434597,0.9465410941049237
0.6,-0.23607445797482082,-0.15364985764144545,0.9291776626075537
0.7,-0.2781700618373394,-0.22221673476145698,0.9026404783569312
0.71,-0.28572386069622957,-0.23345320708134407,0.8985680294528385
0.72,-0.29503994709016856,-0.24692341197392395,0.8937856190475393
0.73,-0.3075791407700308,-0.26442049347064184,0.8877336136189388
0.74,-0.32972520020186785,-0.2937058501038356,0.8780016759253089
0.7403,-0.33087729106565233,-0.2951768739163474,0.8775257707120487
0.7406,-0.3321102609585714,-0.2967457156655989,0.877019570367041
0.7409,-0.33344203743897693,-0.2984339644362908,0.876476397230731
0.7412,-0.3348978304220823,-0.30027199461275644,0.8758868640455763
0.7415,-0.33651594009529023,-0.30230593292956504,0.8752367152096712
0.7418,-0.3383659568996098,-0.30461930334851317,0.8745000665859347
0.7421,-0.340548857418285,-0.30733441082649937,0.8736393464549453
0.7424,-0.34337135365394833,-0.3108195663817129,0.8725405535236543
0.7427,-0.34658304008806806,-0.3147862443563178,0.8712963880632959
