,Epsilons,A_0,E/M
0.01,-0.16341148078725506,-0.0015855723541381695,0.9991829425960638
0.02,-0.16405089055529345,-0.0031872753756685517,0.9983594910944471
0.03,-0.1646993254959073,-0.004805480962990825,0.9975295101175614
0.04,-0.16535705657479843,-0.006440575853492145,0.996692858868504
0.05,-0.16602423513549966,-0.008092956540549754,0.9958493941216126
0.06,-0.16670123576705423,-0.009763042642124924,0.9949989629269884
0.07,-0.16738827110975932,-0.01145126304811773,0.9941414105111585
0.08,-0.16808562377208405,-0.013158065626972979,0.9932765750491166
0.09,-0.16879352905550835,-0.014883911183619453,0.9924042911925022
0.1,-0.1695124097582968,-0.016629293056531606,0.9915243795120852
0.1,-0.1695125120129254,-0.01662930125228832,0.9915243743993537
0.2,-0.17737932073717266,-0.0352796157439,0.9822620679262828
0.3,-0.18680391878073288,-0.0566076431478122,0.9719794121828901
0.4,-0.19850125451273773,-0.08169084161592169,0.9602997490974524
0.5,-0.21384208651052763,-0.11252387386707986,0.9465394783723681
0.6,-0.236085298090683,-0.15365783211377565,0.9291744105727952
0.7,-0.2782002109512109,-0.22224613694156523,0.9026299261670762
0.71,-0.2857607146356612,-0.23349036014367258,0.8985549463043403
0.72,-0.29508794260711346,-0.246973573303054,0.8937683406614392
0.73,-0.30765050650516057,-0.26449823417008883,0.8877075651256164
0.74,-0.32990952708077265,-0.293918526138204,0.8779334749801141
0.74014,-0.33044365439269413,-0.2946006929242726,0.8777127168188956
0.74028,-0.33099418864284397,-0.2953027079426259,0.8774858110157377
0.74043,-0.33160410121242956,-0.2960791066090914,0.8772351876696404
0.74057,-0.33219365980713467,-0.29682829773419045,0.8769936706783151
0.74071,-0.33280498423915267,-0.29760378765368417,0.8767440100621087
0.74085,-0.33344039957060173,-0.2984083785455532,0.8764853399890599
0.74099,-0.3337354989605776,-0.2988467389576222,0.8763526663126008
0.74114,-0.3348459882519012,-0.3001829451147588,0.875916122133493
0.74128,-0.3355755032946331,-0.3011011400251308,0.8756222954588772
0.74142,-0.33634513545205674,-0.3020677315106344,0.8753134948365681
0.74156,-0.3371616639452834,-0.30309088163243914,0.8749871982423678
0.74171,-0.33809861560210147,-0.30426199240370894,0.8746144379108827
0.74185,-0.3390442740284396,-0.3054408107465385,0.874240002656001
0.74199,-0.33972558078096154,-0.30631844317138346,0.8739635081581671
0.74213,-0.3412238415498658,-0.30814571368276844,0.8733837752352991
0.74227,-0.3425010504122007,-0.309724863482646,0.872885872655268
0.74242,-0.34366941890963304,-0.3111816639307012,0.8724264750065551
0.74256,-0.34622680851857573,-0.3142938567532813,0.8714529105332232
0.7427,-0.3504456283103707,-0.31941041116233615,0.8698620159269439
