,Epsilons,A_0,E/M
0.73,-0.3076371507106258,-0.26448240866730144,0.8877124399906215
0.73067,-0.3086757756386642,-0.2659002584321081,0.8872299355070485
0.73134,-0.30975086477736236,-0.2673629753315049,0.886733401276862
0.73201,-0.31086374612261847,-0.26887223906706603,0.886222314600391
0.73267,-0.31200409843562515,-0.2704130299291836,0.8857019785995852
0.73334,-0.3132071221032429,-0.27203293805932954,0.8851563445384039
0.73401,-0.3144643110070645,-0.273719165785497,0.8845900255388522
0.73468,-0.31578013835461016,-0.27547718616772815,0.8840013239768175
0.73535,-0.3171634344803908,-0.27731766489359577,0.8833869342274223
0.73602,-0.3186236772180564,-0.2792520768758288,0.882743300546983
0.73668,-0.3201475262967556,-0.28126178992781686,0.882076860163853
0.73735,-0.32179905718934054,-0.2834292925068346,0.8813607325907199
0.73802,-0.3235739206052944,-0.2857468290236365,0.8805979875574403
0.73869,-0.32550022377836313,-0.2882483396077765,0.8797781198485805
0.73936,-0.3276186091726572,-0.29098287223024755,0.8788859525610521
0.74003,-0.3299931767016867,-0.29402772466517724,0.8778975747227253
0.74069,-0.3326831691312761,-0.29745157609816636,0.8767924517280775
0.74136,-0.3359680476820803,-0.30159667671351836,0.8754633640852065
0.74203,-0.3403330453857589,-0.30704443913121815,0.8737313351662026
0.7427,-0.35011099202940354,-0.3190069777773542,0.869986283109881
