,Epsilons,A_0,E/M
0.1,-0.1694997399338581,-0.01662736289166146,0.9915250130033071
0.13158,-0.17184958763015765,-0.022273572101399623,0.988694015629812
0.16316,-0.1743188670216971,-0.028136568571668966,0.9857790668283699
0.19474,-0.1769235686285467,-0.03423661568876202,0.9827729521226384
0.22632,-0.1796785608386747,-0.040596536345873534,0.9796675740554955
0.25789,-0.18260335619198872,-0.04724192864699751,0.976454210235824
0.28947,-0.18571423502867962,-0.05420582873857483,0.9731206501931241
0.32105,-0.1890405606780316,-0.061525410122807614,0.9696542639971589
0.35263,-0.19260701152841297,-0.06924247519593811,0.9660404947623679
0.38421,-0.19645475243007637,-0.07741311155122348,0.9622600597844202
0.41579,-0.2006270917693358,-0.08610242686696026,0.9582906307566139
0.44737,-0.205181835608331,-0.09539358127437575,0.9541039011019505
0.47895,-0.2101944605365195,-0.10539363147332526,0.949663681563017
0.51053,-0.21576564781535873,-0.11624376325311137,0.9449225819104125
0.54211,-0.2220344930270413,-0.12813654913713607,0.9398164404925553
0.57368,-0.2292013454687182,-0.14134356121187913,0.9342558860657528
0.60526,-0.23757828253173438,-0.15628710839217405,0.9281016843574212
0.63684,-0.24767419135636184,-0.1736399800485475,0.9211355839883073
0.66842,-0.26045744277075716,-0.19466068256143118,0.9129525180515853
0.7,-0.2781928270424775,-0.222237748690736,0.9026325105351329
0.71,-0.28575278561197165,-0.23348121911924893,0.8985577611077501
0.72,-0.29507847767232986,-0.24696249829719988,0.8937717480379612
0.73,-0.30763633353463277,-0.2644814462481637,0.8877127382598591
0.74,-0.32988043175135756,-0.2938836124993829,0.8779442402519977
0.7401,-0.33025903102165627,-0.2943673526068234,0.8777876455704361
0.74024,-0.3308046116818723,-0.29506336545367234,0.8775625971243054
0.74037,-0.33132588572397575,-0.2957274065473518,0.87734812699327
0.74051,-0.33190543900247965,-0.2964645081199956,0.8771103516821369
0.74065,-0.3325060928282226,-0.29722710685609716,0.8768646811733884
0.74078,-0.3330851989654322,-0.2979610275140536,0.8766285731551936
0.74092,-0.3337321167169467,-0.2987795159839579,0.8763656000410399
0.74106,-0.33440684513401053,-0.2996315897692855,0.8760922316724951
0.74119,-0.33506412121495144,-0.3004598922542866,0.8758269119983451
0.74133,-0.33580528146993066,-0.3013921389669576,0.8755287353439482
0.74147,-0.3365880953082561,-0.30237463747203924,0.8752150124858937
0.74161,-0.33741976246025657,-0.30341605524705373,0.8748830649809245
0.74174,-0.3382467268309283,-0.3044490231326603,0.8745544364202136
0.74188,-0.33920370018879303,-0.3056414885008534,0.8741757794519691
0.74202,-0.340253185706443,-0.30694540701730405,0.8737626655710526
0.74215,-0.34133412443030237,-0.3082843629362557,0.8733394397770256
0.74229,-0.3426599901264425,-0.3099211016771409,0.8728234579645215
0.74243,-0.34424524642113286,-0.3118700540649864,0.8722110008497792
0.74256,-0.34615373153074663,-0.3142049564920376,0.8714800425572644
0.7427,-0.3501103221053512,-0.31900617233356193,0.8699865318861778
