,Epsilons,A_0,E/M
0.1,-0.16949870346232804,-0.01662803955078878,0.9915250648268836
0.2,-0.17737368199223585,-0.03527854506167701,0.9822626318007764
0.3,-0.1867990765559837,-0.05660620547653245,0.9719801385166025
0.4,-0.19849669680696863,-0.08168894959955479,0.9603006606386063
0.5,-0.21383844363542664,-0.11252187298036179,0.9465403890911434
0.6,-0.23608246536510535,-0.15365582100479985,0.9291752603904684
0.7,-0.2781959985979184,-0.22224218783773422,0.9026314004907285
0.71,-0.2857558854408545,-0.2334856720852497,0.8985566606684967
0.72,-0.2950827254091509,-0.24696830693058744,0.8937702188527057
0.73,-0.30764348875120756,-0.2644908105310732,0.8877101266058093
0.74,-0.32989528636638915,-0.29390235946281024,0.8779387440444361
0.7402,-0.3306629147263538,-0.29488242543692467,0.8776216552597764
0.7404,-0.33146536322566555,-0.29590460011315034,0.8772915225338587
0.7406,-0.3323072489875099,-0.2969744500959854,0.8769466256999251
0.7408,-0.3331942873571065,-0.29809886603688207,0.8765848359629278
0.741,-0.33413342699769405,-0.2992862407264525,0.8762035652973543
