,Epsilons,A_0,E/M
0.1,-0.16950914127783223,-0.0166290033702108,0.9915245429361084
0.125,-0.17135623796202726,-0.021081194874052682,0.9892902351273734
0.15,-0.17327883438872285,-0.025667119499266696,0.9870040874208458
0.175,-0.1752830313511636,-0.03039619450275274,0.9846627347567732
0.2,-0.17737560988056278,-0.03527891846625319,0.9822624390119438
0.225,-0.1795641572894983,-0.040327075185363756,0.9797990323049315
0.25,-0.18185736401971775,-0.045553939956860426,0.9772678294975353
0.275,-0.18426513098350192,-0.05097456428583825,0.9746635444897684
0.3,-0.18679883714411555,-0.05660611894324144,0.9719801744283827
0.325,-0.18947239604846275,-0.06246858102560812,0.9692107356421248
0.35,-0.1922998419976809,-0.06858434837868728,0.9663475276504059
0.375,-0.1953006218470272,-0.0749805686131871,0.9633811334036824
0.4,-0.19849503936329543,-0.08168820184970634,0.9603009921273409
0.425,-0.2019103306426466,-0.08874530319766434,0.9570940547384376
0.45,-0.20557680770428444,-0.0961965555159061,0.953745218266536
0.475,-0.20953501569588287,-0.10409816550058745,0.9502354337722279
0.5,-0.2138335618474442,-0.11251901902033648,0.9465416095381389
0.525,-0.21853582953179357,-0.12154720120392644,0.9426343447479042
0.55,-0.22372623922965645,-0.1312981971050118,0.9384752842118445
0.575,-0.2295172379322331,-0.14192580910980954,0.934013794094483
0.6,-0.23607052539373485,-0.15364685801884675,0.9291788423818795
0.625,-0.24362967506798136,-0.1667826845539982,0.9238657265412559
0.65,-0.25257339146188923,-0.18183326038098854,0.917913647774886
0.675,-0.2636004240595668,-0.19969251708925442,0.9110348568798962
0.7,-0.27815542855583736,-0.22220189140291946,0.9026456000054569
0.71,-0.28570996711527435,-0.23343974046654442,0.8985729616740776
0.72,-0.29502598985943884,-0.2469083108199865,0.893790643650602
0.73,-0.30756398560423204,-0.26440362166995385,0.8877391452544553
0.74,-0.32969538614252186,-0.2936709751582888,0.8780127071272669
0.74014,-0.330225011432316,-0.2943477231021129,0.8777936300192428
0.74028,-0.3307606195341696,-0.29503213218140667,0.8775722642856225
0.74043,-0.3313706411027019,-0.295808336860536,0.8773216181041632
0.74057,-0.33195109963164604,-0.2965466545049406,0.877083487072896
0.74071,-0.3325534253589607,-0.29731135981084084,0.8768371761511821
0.74085,-0.3331783817844376,-0.2981034587141508,0.8765823979274997
0.74099,-0.33382932315207803,-0.29892680099157876,0.8763179049187708
0.74114,-0.3345575046662156,-0.2998461849450205,0.8760230254958405
0.74128,-0.3352729465546617,-0.3007475963023515,0.8757344350889802
0.74142,-0.33602687713339097,-0.3016951858420208,0.8754314763778807
0.74156,-0.3368114249117568,-0.30268019395193013,0.8751170598712188
0.74171,-0.3377160892313884,-0.3038135276314073,0.8747562997280934
0.74185,-0.3386492658932094,-0.3049766870512314,0.8743865210485613
0.74199,-0.33959379760914193,-0.3061548588163215,0.8740123990559964
0.74213,-0.340738302550747,-0.30757220644047156,0.8735639417640071
0.74227,-0.34194753874597056,-0.3090690954376587,0.8730913002075142
0.74242,-0.34341618615978825,-0.3108861031721213,0.872520477535625
0.74256,-0.345087979907376,-0.3129366857612195,0.8718757348199895
0.7427,-0.34605770662674534,-0.31417035729065373,0.8714914706441581
