,Epsilons,A_0,E/M
0.7,-0.2781627435769859,-0.22220921547217823,0.9026430397480549
0.71,-0.28571280494269863,-0.23344166292463225,0.898571954245342
0.72,-0.2950289438228185,-0.24691153636232052,0.8937895802237853
0.73,-0.3074791377007866,-0.26431427466610496,0.8877701147392129
0.74,-0.3296956638115149,-0.29366835772957656,0.8780126043897395
0.74014,-0.33022518842448995,-0.2943480024221484,0.877793564519749
0.74028,-0.33076819132157337,-0.29504100413571377,0.8775694616642329
0.74043,-0.33137001174570807,-0.2958077540118716,0.8773218511015627
0.74057,-0.3319498437036808,-0.2965455259763063,0.8770839521241826
0.74071,-0.33255326982638145,-0.29731117776696275,0.8768372337534505
0.74085,-0.3331785243236707,-0.29810356927273457,0.8765823451274043
0.74099,-0.33382983633239255,-0.29892740728051226,0.8763177147880302
0.74114,-0.33450677205870927,-0.2997866520008704,0.8760418254782041
0.74128,-0.33527199132965824,-0.30074634308310066,0.8757347891335755
0.74142,-0.33602551185063867,-0.3016935959547004,0.8754319825018497
0.74156,-0.33671786804913073,-0.30257981507033027,0.8751517488847433
0.74171,-0.33767735655628184,-0.3037670314346786,0.8747706639343201
0.74185,-0.33835168984652486,-0.3046375024362722,0.8744968994436777
0.74199,-0.3395796794412636,-0.3061395587397594,0.8740176368256884
0.74213,-0.3406899413484466,-0.30751501488455024,0.8735818869135387
0.74227,-0.3416378206481229,-0.30870592972338207,0.873206247433759
0.74242,-0.3439271322066491,-0.3114900140945326,0.8723308092535698
0.74256,-0.34497683882931374,-0.3128075607811722,0.8719169992794524
0.7427,-0.3460129790730545,-0.31412444872654016,0.8715080802212212
