,Epsilons,A_0,E/M
0.74,-0.3297089266145531,-0.29368738412782713,0.8780076971526154
0.74014,-0.3302370171953024,-0.29436230676400504,0.8777891870465344
0.74028,-0.3307810532540806,-0.2950565197523195,0.8775647009485346
0.74043,-0.33138287151798285,-0.2958232280775869,0.8773170902209699
0.74057,-0.33196496195010244,-0.2965634295184095,0.8770783540643063
0.74071,-0.3325668752319117,-0.29732766161930646,0.8768321949234854
0.74085,-0.33319298482603404,-0.29812105898317115,0.8765769885958163
0.74099,-0.3338445796002628,-0.2989452554260571,0.8763122524810006
0.74114,-0.3345744231821533,-0.299866633199442,0.8760167560013894
0.74128,-0.33528960099266103,-0.30076762005082675,0.8757282622880801
0.74142,-0.3360422098374125,-0.30171379561641315,0.8754257923911728
0.74156,-0.33683917177361383,-0.30271345488013107,0.8751067718897795
0.74171,-0.33775128014569816,-0.3038547156470557,0.8747432490015671
0.74185,-0.33866789614701975,-0.30499864683888406,0.8743796106216667
0.74199,-0.33966351053780386,-0.3062377867867239,0.8739865359080274
0.74213,-0.340760908696023,-0.30759956021595997,0.8735555534147103
0.74227,-0.34199716339588027,-0.3091285635822983,0.87307288276307
0.74242,-0.34355196665065624,-0.3110439845044199,0.8724700744596099
0.74256,-0.3449384657570731,-0.31276421756460815,0.8719312464337139
0.7427,-0.3473889275282866,-0.3157545710273934,0.8709971217623708
