,Epsilons,A_0,E/M
0.1,-0.16949617631110397,-0.016627789314289907,0.9915251911844448
0.2,-0.17736116726168716,-0.03527605740301916,0.9822638832738313
0.3,-0.18678769060767397,-0.05660259885978794,0.9719818464088489
0.4,-0.19848000681133107,-0.0816814626352076,0.9603039986377337
0.5,-0.21381156763935683,-0.11250583190280904,0.9465471080901608
0.6,-0.23604159324852694,-0.15362432838926748,0.929187522025442
0.7,-0.2781085354395465,-0.22215482519771038,0.9026620125961587
0.71,-0.2856583236432693,-0.233385307392464,0.8985912951066394
0.72,-0.2949541820183668,-0.2468317220262856,0.893816494473388
0.73,-0.3074657352705933,-0.2642948705843473,0.8877750066262334
0.74,-0.3294889167471962,-0.29343121805680206,0.8780891008035374
0.74015,-0.32960143131827024,-0.2936382233276648,0.8780227503048912
0.74031,-0.3306645854076771,-0.29493347843494955,0.8776028503884212
0.74046,-0.33077843230494475,-0.295143054125216,0.8775359010077403
0.74061,-0.33188197651720186,-0.2964836138953371,0.8771024446857976
0.74076,-0.33199719134298783,-0.29669585401039056,0.8770348802703842
0.74092,-0.3332368196985681,-0.2982026470807989,0.8765490877744685
0.74107,-0.33335407096039055,-0.29841850503739675,0.8764806493166917
0.74122,-0.3346778972370927,-0.30002287096516084,0.875965024504961
0.74137,-0.3347959984399723,-0.30024098239940095,0.8758961453182789
0.74153,-0.3363288414696811,-0.30209922853886545,0.8753010370924936
0.74168,-0.3364484486084603,-0.3023206038748509,0.8752314573180386
0.74183,-0.3381452202388983,-0.30437246253420064,0.8745768656350891
0.74198,-0.33826674388940237,-0.3045977878335764,0.8745064206844706
0.74214,-0.3403786590414462,-0.3071510164451061,0.8736956909894905
0.74229,-0.340501538464786,-0.30737935363549646,0.8736245565064871
0.74244,-0.3431397723028095,-0.3105625367050249,0.8726196537257511
0.74259,-0.34326576277941306,-0.31079742652053655,0.8725471386088178
0.74275,-0.3479940171832071,-0.31649586389853707,0.8707637218685864
0.7429,-0.34812448404804613,-0.3167414313354892,0.8706891604003533
