,Epsilons,A_0,E/M
0.01,-0.16340888435339734,-0.001585550612511413,0.999182955578233
0.02,-0.1640482537092916,-0.0031872310179134945,0.9983595174629071
0.03,-0.164696646858788,-0.004805413065578984,0.9975295502971182
0.04,-0.1653543348454173,-0.006440483441769101,0.9966929133030916
0.05,-0.16602146888978944,-0.008092838587579872,0.9958494632777553
0.06,-0.16669842352638833,-0.009762898062598804,0.9949990472942084
0.07,-0.1673854113468682,-0.011451090697254978,0.9941415106028596
0.08,-0.16808271489023502,-0.013157864296149218,0.9932766914043906
0.09,-0.16879056941715823,-0.014883679598086048,0.9924044243762279
0.1,-0.16950939760229528,-0.01662902986641808,0.9915245301198853
0.1,-0.16950949982546315,-0.016629038059476797,0.9915245250087268
0.2,-0.17737566835346558,-0.035278942770084594,0.9822624331646534
0.3,-0.18679932447068626,-0.05660629669957358,0.971980101329397
0.4,-0.19849517250476667,-0.08168830554197723,0.9603009654990466
0.5,-0.2138333595342278,-0.11251897751509639,0.946541660116443
0.6,-0.23607066130029916,-0.15364706422351704,0.9291788016099103
0.7,-0.27815954863335607,-0.22220647945519795,0.9026441579783254
0.71,-0.2857109682007493,-0.23344020863788323,0.898572606288734
0.72,-0.2950231675715391,-0.24690587380372056,0.8937916596742459
0.73,-0.30755419483099705,-0.26439331877063527,0.8877427188866861
0.74,-0.3296611699101363,-0.29363198319058614,0.8780253671332496
0.74014,-0.330187641930821,-0.29430497243226966,0.8778074593506611
0.74028,-0.3307299254918944,-0.2949970911731292,0.8775836253784302
0.74043,-0.33133004217929835,-0.2957617460150491,0.877336648434591
0.74057,-0.33171436372394497,-0.29626903476778876,0.8771711468284791
0.74071,-0.33250998862578474,-0.29726130910627035,0.8768532631624975
0.74085,-0.33313313655922655,-0.29805118357112664,0.8765991578900485
0.74099,-0.3337816885109236,-0.2988717465441215,0.8763355533151453
0.74114,-0.3345083661850326,-0.29978931847582896,0.8760412347428125
0.74128,-0.3352200625232329,-0.30068612499122044,0.8757540360263889
0.74142,-0.3359690893725844,-0.30162797905961203,0.8754528988786893
0.74156,-0.33655974021645385,-0.30238788764315283,0.8752103795225432
0.74171,-0.3376671233537271,-0.3037556566362379,0.8747744589686535
0.74185,-0.33857663338164845,-0.3048910570372566,0.8744134622629121
0.74199,-0.3395633666446866,-0.306119529792964,0.8740236887916545
0.74213,-0.3406492448583422,-0.30746745845166923,0.8735969879566392
0.74227,-0.3418692092226714,-0.30897688599210565,0.8731203710351438
0.74242,-0.34403945491342103,-0.3116233840024192,0.8722891139415889
0.74256,-0.3451292308696765,-0.3129869557910001,0.8718604191627065
0.7427,-0.3476974450701045,-0.3161188815299597,0.8708825537732167
