,Epsilons,A_0,E/M
0.01,-0.1634095630266889,-0.001585556317560684,0.9991829521848665
0.02,-0.16404894270108866,-0.00318724265005239,0.9983595105729891
0.03,-0.16469734653096776,-0.004805430859931158,0.9975295398020355
0.04,-0.16535504549725155,-0.006440507646831984,0.996692899090055
0.05,-0.166022190913077,-0.008092869465320583,0.9958494452271731
0.06,-0.16669915730733947,-0.009762935890430459,0.9949990252807798
0.07,-0.16738615728572914,-0.011451135768482917,0.9941414844949995
0.08,-0.16808347340698815,-0.01315791692028861,0.9932766610637205
0.09,-0.16879134093870163,-0.014883740102430217,0.9924043896577585
0.1,-0.1695101825959394,-0.01662909859796139,0.991524490870203
0.1,-0.16951028482864938,-0.016629106791535328,0.9915244857585676
0.2,-0.17737661809406638,-0.0352791179324498,0.9822623381905934
0.3,-0.18680051758781574,-0.056606646508243465,0.9719799223618276
0.4,-0.1984967508807563,-0.08168896382108523,0.9603006498238488
0.5,-0.21383562358030497,-0.1125202479434597,0.9465410941049237
0.6,-0.23607445797482082,-0.15364985764144545,0.9291776626075537
0.7,-0.2781700618373394,-0.22221673476145698,0.9026404783569312
0.71,-0.28572386069622957,-0.23345320708134407,0.8985680294528385
0.72,-0.29503994709016856,-0.24692341197392395,0.8937856190475393
0.73,-0.3075791407700308,-0.26442049347064184,0.8877336136189388
0.74,-0.32972520020186785,-0.2937058501038356,0.8780016759253089
0.74014,-0.3302536620966404,-0.294381222824198,0.8777830272678963
0.74028,-0.3307980809405867,-0.29507590110782295,0.8775583983206512
0.74043,-0.33140072053089337,-0.2958435792940905,0.8773104822486553
0.74057,-0.3319828891977727,-0.29658390381948946,0.8770717158734027
0.74071,-0.3325859757820526,-0.29734951318890435,0.8768251209392379
0.74085,-0.3332122491975001,-0.2981431369073083,0.876569852591016
0.74099,-0.333864339003319,-0.29896794212595607,0.8763049317209654
0.74114,-0.334595108364882,-0.2998904312790044,0.8760090906932256
0.74128,-0.33531144347046776,-0.3007927995605553,0.8757201665921058
0.74142,-0.3360656100039637,-0.3017408269515019,0.8754171177154306
0.74156,-0.33646814918900025,-0.30230436320175413,0.8752443396437025
0.74171,-0.33777748062728025,-0.30388512377707666,0.87473353242197
0.74185,-0.3380972908608157,-0.30436013875198903,0.8745912623874519
0.74199,-0.3396941205301778,-0.30627349661904335,0.8739751797539067
0.74213,-0.3407950215398979,-0.30763947346639514,0.8735428953322978
0.74227,-0.342035810314557,-0.309173930408247,0.8730585395389069
0.74242,-0.34360879427174884,-0.31111096730675497,0.8724489794783841
0.74256,-0.34539326322575764,-0.3133011297810726,0.8717623892295407
0.7427,-0.34817497561046995,-0.3166897579035516,0.870705222807052
