,Epsilons,A_0,E/M
0.01,-0.16340188834578587,-0.0015855201937639595,0.9991829905582711
0.02,-0.1640413437836052,-0.003187171241034802,0.998359586562164
0.03,-0.1646838980803833,-0.004805235715134296,0.9975297415287943
0.04,-0.16534539843081417,-0.0064403229604953665,0.9966930920313837
0.05,-0.16600869535084312,-0.008092543160339836,0.9958497826162289
0.06,-0.16668793964019893,-0.009762611397866876,0.9949993618107941
0.07,-0.16736899631585947,-0.011450547941010756,0.9941420851289449
0.08,-0.16806793502913786,-0.013157310667917383,0.9932772825988345
0.09,-0.16877659244793772,-0.014883096187153406,0.9924050533398429
0.1,-0.1694962714387868,-0.016628425526972558,0.9915251864280606
0.1,-0.16949618656407525,-0.016628425106447648,0.9915251906717962
0.2,-0.17735869845719168,-0.03527736853615488,0.9822641301542808
0.3,-0.18677547350152032,-0.056602947310494825,0.971983678974772
0.4,-0.19849677856756384,-0.08168928085657742,0.9603006442864872
0.5,-0.21382533972623324,-0.112518195155378,0.9465436650684417
0.6,-0.2360807771993326,-0.15365368280318684,0.9291757668402002
0.7,-0.2781802797298563,-0.2222266934921098,0.9026369020945503
0.71,-0.2857082489039626,-0.23345504174326803,0.8985735716390932
0.72,-0.29506771716696634,-0.24694618606227334,0.8937756218198921
0.73,-0.30757278589015635,-0.2644350570002153,0.8877359331500929
0.74,-0.32976851894039777,-0.2937559623696545,0.8779856479920528
0.74014,-0.3302981209835817,-0.2944329166017909,0.877766574367606
0.74028,-0.3308290211466687,-0.2951400341050971,0.8775469461127721
0.74043,-0.3314521303507727,-0.2959180609598214,0.8772914495621886
0.74057,-0.33203157283542667,-0.296659314881877,0.877053689052634
0.74071,-0.3326392014317011,-0.29741162581627345,0.8768054085537623
0.74085,-0.3332982820517287,-0.2982413177094997,0.8765379838709884
0.74099,-0.3339120385924178,-0.2990505797994429,0.8762872592617021
0.74114,-0.33470952383125996,-0.30000498275717385,0.87596669175385
0.74128,-0.3353886578138712,-0.3008945488009729,0.8756915478678667
0.74142,-0.3361567533367476,-0.3018498473641321,0.8753833299705343
0.74156,-0.3369254851995091,-0.3028467617997699,0.875074768597726
0.74171,-0.3378460827739392,-0.30399905580783715,0.8747080909728708
0.74185,-0.33878126105680084,-0.30513166995173086,0.8743375607425061
0.74199,-0.33982340117749493,-0.3064255151157303,0.8739272172801553
0.74213,-0.34093794279225886,-0.3078091909371406,0.8734898622577905
0.74227,-0.3422089111020973,-0.309377942554567,0.8729942957781232
0.74242,-0.3438004171483281,-0.3113378663515662,0.8723778471503691
0.74256,-0.34562239475826373,-0.3135748157115469,0.8716773172741519
0.7427,-0.3488294977377729,-0.3174721475829741,0.870462166015078
