,Epsilons,A_0,E/M
0.01,-0.1634102405457198,-0.0015855619923813215,0.9991829487972714
0.02,-0.16404963071716291,-0.0031872542273999782,0.9983595036928283
0.03,-0.164698045422149,-0.004805448580110387,0.9975295293186678
0.04,-0.1653557556141909,-0.0064405317637556405,0.9966928848877162
0.05,-0.16602291262595859,-0.008092900246453495,0.995849427184351
0.06,-0.1666998909994066,-0.009762973618596132,0.9949990032700178
0.07,-0.1673869033597241,-0.011451180741786922,0.9941414583824096
0.08,-0.1680842322856147,-0.013157969453373719,0.9932766307085754
0.09,-0.16879211303354058,-0.014883800528022927,0.9924043549134907
0.1,-0.16951096837465907,-0.016629167267681527,0.991524451581267
0.1,-0.16951107061152335,-0.01662917546190814,0.9915244464694238
0.2,-0.17737757071850538,-0.035279293473710345,0.9822622429281495
0.3,-0.18680171575746582,-0.05660699767062341,0.9719797426363801
0.4,-0.19849833694360194,-0.08168962519683849,0.9603003326112796
0.5,-0.21383789933891728,-0.11252152480906337,0.9465405251652707
0.6,-0.23607827477462895,-0.15365266562269228,0.9291765175676113
0.7,-0.27818064312453455,-0.2222270555150346,0.9026367749064129
0.71,-0.2857368252482166,-0.23346627756567426,0.8985634270368831
0.72,-0.2950568218794661,-0.24694104919701873,0.8937795441233922
0.73,-0.3076042568290739,-0.2644478527795265,0.887724446257388
0.74,-0.3297898641904086,-0.29378045332504654,0.8779777502495488
0.74014,-0.3303202870626708,-0.2944581786658671,0.8777583713667174
0.74028,-0.330866844824466,-0.29515542260159755,0.8775329460566721
0.74043,-0.33147197981122495,-0.29592609509407347,0.8772841009941874
0.74057,-0.33205680873636695,-0.2966696063808246,0.8770443445770544
0.74071,-0.33266271328518215,-0.2974385983938801,0.8767967008212664
0.74085,-0.3332922297475867,-0.29823610918779847,0.8765402257957502
0.74099,-0.33394780578006045,-0.2990651010135731,0.8762740076975165
0.74114,-0.334682949583296,-0.29999283690404116,0.875976539372918
0.74128,-0.33540379843064416,-0.300900627908291,0.875685936149666
0.74142,-0.3359440801036698,-0.3016107230898776,0.8754621700647686
0.74156,-0.33696800226667195,-0.3028640081321687,0.8750590041195634
0.74171,-0.3378896045191014,-0.30401668453904185,0.8746919507160686
0.74185,-0.33879407298408326,-0.3051470860138604,0.8743328084783789
0.74199,-0.3398273398034365,-0.3064303984027195,0.8739257560696241
0.74213,-0.34095143016928764,-0.30782400389939124,0.8734848575642333
0.74227,-0.34221549448119387,-0.3093864304196772,0.8729918524557221
0.74242,-0.34380751233919304,-0.3113468272756971,0.8723752133445681
0.74256,-0.3456721979889115,-0.31363318006815316,0.8716588263306769
0.7427,-0.34874277862134573,-0.317369134168473,0.8704943691589633
