,Epsilons,A_0,E/M
0.01,-0.1634095630266889,-0.001585556317560684,0.9991829521848665
0.02,-0.16404894270108866,-0.00318724265005239,0.9983595105729891
0.03,-0.16469734653096776,-0.004805430859931158,0.9975295398020355
0.04,-0.16535504549725155,-0.006440507646831984,0.996692899090055
0.05,-0.166022190913077,-0.008092869465320583,0.9958494452271731
0.06,-0.16669915730733947,-0.009762935890430459,0.9949990252807798
0.07,-0.16738615728572914,-0.011451135768482917,0.9941414844949995
0.08,-0.16808347340698815,-0.01315791692028861,0.9932766610637205
0.09,-0.16879134093870163,-0.014883740102430217,0.9924043896577585
0.1,-0.1695101825959394,-0.01662909859796139,0.991524490870203
0.1,-0.16951028482864938,-0.016629106791535328,0.9915244857585676
0.2,-0.17737661809406638,-0.0352791179324498,0.9822623381905934
0.3,-0.18680051758781574,-0.056606646508243465,0.9719799223618276
0.4,-0.1984967508807563,-0.08168896382108523,0.9603006498238488
0.5,-0.21383562358030497,-0.1125202479434597,0.9465410941049237
0.6,-0.23607445797482082,-0.15364985764144545,0.9291776626075537
0.7,-0.2781700618373394,-0.22221673476145698,0.9026404783569312
0.71,-0.28572386069622957,-0.23345320708134407,0.8985680294528385
0.72,-0.29503994709016856,-0.24692341197392395,0.8937856190475393
0.73,-0.3075791407700308,-0.26442049347064184,0.8877336136189388
0.74,-0.32972520020186785,-0.2937058501038356,0.8780016759253089
0.74006,-0.32994986636395346,-0.2939930921793277,0.8779086509493463
0.74011,-0.3301391180049402,-0.29423492457342926,0.8778303686866819
0.74017,-0.33036892892022623,-0.2945283962070158,0.8777354149405581
0.74022,-0.33056273365519817,-0.2947757314223044,0.8776554266468746
0.74028,-0.33079805987641914,-0.29507587713366057,0.8775584061173423
0.74033,-0.33083534254102864,-0.2951422114429697,0.8775363354283001
0.74039,-0.3312379262068498,-0.295636339864392,0.8773773759078553
0.74044,-0.33144159525129663,-0.2958956066084515,0.8772936926060649
0.7405,-0.33143897935935457,-0.2959311432881464,0.877284717892199
0.74055,-0.33189845156285597,-0.2964766095045096,0.8771063008475635
0.74061,-0.33215292063024676,-0.2967998985476882,0.8770021127260165
0.74066,-0.3323680406691133,-0.2970730040026762,0.8769141434990073
0.74072,-0.3326298929288999,-0.29740521523346647,0.8768071928548526
0.74077,-0.3328514296850946,-0.2976860731155235,0.8767168232160862
0.74083,-0.33312122145789097,-0.2980278803806906,0.8766069027536754
0.74088,-0.33334965396192695,-0.29831707196548196,0.8765139541863438
0.74094,-0.3336282628266099,-0.298669522464244,0.8764007374706259
0.74099,-0.33386425729556235,-0.2989678483096131,0.8763049619932806
0.74105,-0.3341523546970597,-0.29933175943149704,0.876188198775872
0.7411,-0.33439675243424277,-0.2996402270043181,0.8760892833854913
0.74116,-0.3346953620571628,-0.3000168279515766,0.8759685927288566
0.74121,-0.33494882581845986,-0.3003362463884123,0.8758662904075497
0.74127,-0.33497485650781617,-0.30041530517921,0.8758465940582255
0.74132,-0.3355228009954157,-0.3010586953268783,0.8756351185830392
0.74138,-0.33584596270642525,-0.3014649277296825,0.8755052600843553
0.74143,-0.33612108603097707,-0.3018104819129006,0.8753948715920263
0.74149,-0.33645883709492,-0.3022343145320899,0.8752595684412439
0.74154,-0.33674698107827084,-0.3025955706838114,0.8751443218256095
0.7416,-0.33710120657437725,-0.3030392780812338,0.8750028726022209
0.74165,-0.33740414880132125,-0.30341837983869124,0.87488210652075
0.74171,-0.3377774891249642,-0.3038851336420038,0.8747335292705614
0.74176,-0.3380975580955411,-0.30428488453950736,0.8746063776535258
0.74182,-0.3384931949703361,-0.3047785149749459,0.8744494890535526
0.74187,-0.33883330844386345,-0.30520243140791165,0.8743148667323755
0.74193,-0.3392554197734477,-0.3057279672095718,0.874148113203743
0.74198,-0.33961978495906847,-0.3061811058029821,0.8740044559780352
0.74204,-0.34007402192761144,-0.30674534926321545,0.8738257363844176
0.74209,-0.3404681372475353,-0.30723433055616833,0.8736710000149883
0.74215,-0.3409625390787491,-0.3078469560610581,0.8734773258113532
0.7422,-0.34139473855857616,-0.30838180210219374,0.8733084125209124
0.74226,-0.34194136775807593,-0.30905732476613246,0.8730953001839452
0.74231,-0.3424242422693588,-0.3096531884105076,0.8729075303605162
0.74237,-0.3430114094872844,-0.3103785123504865,0.8726793099694623
0.74242,-0.343598409205403,-0.31109872573600283,0.8724528345188624
0.74248,-0.3443257078512893,-0.3119917229065719,0.8721725242172873
0.74253,-0.3449555641663509,-0.3127655137281347,0.8719300724697797
0.74259,-0.34586738687878626,-0.31388055991817143,0.871581168588841
0.74264,-0.3467684683001804,-0.31497965618381285,0.8712379323507771
0.7427,-0.3481751213866608,-0.3166899315346382,0.8707051686730636
