,Epsilons,A_0,E/M
0.01,-0.16340121028702853,-0.0015855145160723566,0.9991829939485649
0.02,-0.16404065608835441,-0.0031871596669404176,0.9983595934391165
0.03,-0.16468319989650654,-0.00480521800549916,0.9975297520015524
0.04,-0.16534468888532858,-0.006440298855015037,0.9966931062222935
0.05,-0.16600797441567275,-0.008092512398653594,0.9958498006396082
0.06,-0.16668720662093386,-0.009762573690139121,0.994999383801372
0.07,-0.16736825123482169,-0.011450503002778521,0.9941421112067812
0.08,-0.1680671770774884,-0.013157258171900327,0.9932773129169005
0.09,-0.16877582124976442,-0.014883035802392842,0.9924050880437606
0.1,-0.16949548654050128,-0.01662835690199078,0.991525225672975
0.1,-0.1694954016734766,-0.016628356481518065,0.9915252299163262
0.2,-0.1773577473384587,-0.035277193149379105,0.9822642252661541
0.3,-0.18677427831579427,-0.056602596609500434,0.9719838582526309
0.4,-0.19849519286807132,-0.08168861956214546,0.9603009614263858
0.5,-0.2138230673591916,-0.11251691918983826,0.9465442331602021
0.6,-0.2360769481598029,-0.15365087070295821,0.9291769155520592
0.7,-0.2781696040564405,-0.2222163135647464,0.9026406385802458
0.71,-0.2856953773320744,-0.23344200694436854,0.8985781410471136
0.72,-0.29505064751184185,-0.2469284610239338,0.893781766895737
0.73,-0.3075712495239079,-0.2644117973834927,0.8877364939237736
0.74,-0.32967990288430443,-0.29368729950953704,0.8780184359328074
0.74014,-0.3302101549171484,-0.2943634130792316,0.8777991279698109
0.74028,-0.3307823552923343,-0.29506951614874033,0.8775642190120954
0.74043,-0.3313881914445076,-0.2958384900814472,0.8773151207043717
0.74057,-0.33194408586300606,-0.29656803428827594,0.8770860841662168
0.74071,-0.3325458201214485,-0.29733312548457413,0.876839992788921
0.74085,-0.33320134395715595,-0.2981387119736331,0.8765738921646705
0.74099,-0.33383102496729017,-0.2989543845053204,0.8763172744047438
0.74114,-0.3345584809873727,-0.29987555201198474,0.8760226637005093
0.74128,-0.33531118254704434,-0.3007926791483322,0.8757202633007635
0.74142,-0.33602910313475326,-0.30170875512514195,0.8754306511769157
0.74156,-0.3368695155005518,-0.3027425667275526,0.8750955210427054
0.74171,-0.33777304961410626,-0.3038792822630166,0.8747351756853606
0.74185,-0.338693379355045,-0.30502764213887595,0.8743701582627299
0.74199,-0.3396817510450579,-0.3062691438963035,0.8739797687710388
0.74213,-0.3407581000921586,-0.30762473622006564,0.8735565955893032
0.74227,-0.34200225023318964,-0.3091607426358947,0.8730709948597052
0.74242,-0.3435876028270848,-0.31108530589838784,0.8724568459545579
0.74256,-0.34535475981211133,-0.3132555182419481,0.8717766847769592
0.7427,-0.3480796336225954,-0.31657573424729224,0.8707406280542491
