Data outputs for ultrarelativistic Klein Gordon/Metric solver
    
Max zeta: 25
Zeta intervals: 500
Epsilon convergence tolerance: 1e-06
Write date: 2024-07-08
    

ZETA_S   epsilon   A_0       E/m
0.0100   -0.1634   -0.0016   0.9992
0.0500   -0.1660   -0.0081   0.9958
0.1000   -0.1695   -0.0166   0.9915
0.1500   -0.1733   -0.0257   0.9870
0.2000   -0.1774   -0.0353   0.9823
0.2500   -0.1819   -0.0456   0.9773
0.3000   -0.1868   -0.0566   0.9720
0.3500   -0.1923   -0.0686   0.9663
0.4000   -0.1985   -0.0817   0.9603
0.4500   -0.2056   -0.0962   0.9537
0.5000   -0.2139   -0.1126   0.9465
0.5500   -0.2238   -0.1314   0.9385
0.6000   -0.2362   -0.1537   0.9291
0.6500   -0.2527   -0.1820   0.9179
0.7000   -0.2784   -0.2224   0.9026
0.7500   -0.3544   -0.3286   0.8671
