 Math terms in metric/KG solver

Max zeta: 25
Zeta intervals: 500
Epsilon convergence tolerance: 1e-06
zeta_s = 0.7
Write date: 2024-07-08

C1          C2          C3          DF          da_t1        da_t2       da_t3       da_t4

0.0000e+00   -1.0259e+00   5.1479e+02   0.0000e+00   nan   -0.0000e+00   0.0000e+00   0.0000e+00
-1.7576e-02   -1.0259e+00   5.1470e+02   -2.5733e+02   2.1427e-03   -1.8871e-03   2.4650e-07   2.3985e-03
-1.7464e-02   -1.0253e+00   5.1463e+02   -2.5728e+02   3.2114e-03   -3.7685e-03   1.1065e-06   4.7885e-03
-1.7276e-02   -1.0245e+00   5.1451e+02   -2.5721e+02   4.5138e-03   -5.6387e-03   3.2752e-06   7.1613e-03
-1.7015e-02   -1.0232e+00   5.1435e+02   -2.5712e+02   5.8692e-03   -7.4919e-03   7.3716e-06   9.5085e-03
-1.6683e-02   -1.0216e+00   5.1414e+02   -2.5701e+02   7.2394e-03   -9.3227e-03   1.3991e-05   1.1822e-02
-1.6280e-02   -1.0197e+00   5.1389e+02   -2.5687e+02   8.6104e-03   -1.1126e-02   2.3694e-05   1.4093e-02
-1.5809e-02   -1.0174e+00   5.1360e+02   -2.5672e+02   9.9749e-03   -1.2895e-02   3.6992e-05   1.6315e-02
-1.5273e-02   -1.0148e+00   5.1328e+02   -2.5655e+02   1.1328e-02   -1.4626e-02   5.4349e-05   1.8478e-02
-1.4674e-02   -1.0119e+00   5.1291e+02   -2.5636e+02   1.2667e-02   -1.6314e-02   7.6163e-05   2.0578e-02
-1.4016e-02   -1.0086e+00   5.1252e+02   -2.5615e+02   1.3987e-02   -1.7953e-02   1.0277e-04   2.2605e-02
-1.3302e-02   -1.0050e+00   5.1209e+02   -2.5593e+02   1.5287e-02   -1.9539e-02   1.3443e-04   2.4554e-02
-1.2536e-02   -1.0010e+00   5.1164e+02   -2.5570e+02   1.6565e-02   -2.1068e-02   1.7134e-04   2.6419e-02
-1.1723e-02   -9.9681e-01   5.1117e+02   -2.5546e+02   1.7817e-02   -2.2535e-02   2.1360e-04   2.8194e-02
-1.0866e-02   -9.9226e-01   5.1067e+02   -2.5521e+02   1.9041e-02   -2.3935e-02   2.6125e-04   2.9874e-02
-9.9706e-03   -9.8743e-01   5.1016e+02   -2.5495e+02   2.0236e-02   -2.5267e-02   3.1424e-04   3.1454e-02
-9.0414e-03   -9.8230e-01   5.0964e+02   -2.5469e+02   2.1400e-02   -2.6525e-02   3.7245e-04   3.2930e-02
-8.0833e-03   -9.7690e-01   5.0912e+02   -2.5443e+02   2.2530e-02   -2.7708e-02   4.3566e-04   3.4300e-02
-7.1015e-03   -9.7123e-01   5.0859e+02   -2.5416e+02   2.3625e-02   -2.8812e-02   5.0360e-04   3.5559e-02
-6.1012e-03   -9.6529e-01   5.0806e+02   -2.5390e+02   2.4683e-02   -2.9835e-02   5.7594e-04   3.6706e-02
-5.0878e-03   -9.5911e-01   5.0754e+02   -2.5365e+02   2.5702e-02   -3.0774e-02   6.5224e-04   3.7738e-02
-4.0664e-03   -9.5268e-01   5.0704e+02   -2.5339e+02   2.6681e-02   -3.1630e-02   7.3206e-04   3.8656e-02
-3.0424e-03   -9.4603e-01   5.0654e+02   -2.5315e+02   2.7619e-02   -3.2399e-02   8.1486e-04   3.9458e-02
-2.0210e-03   -9.3915e-01   5.0607e+02   -2.5292e+02   2.8513e-02   -3.3081e-02   9.0009e-04   4.0145e-02
-1.0073e-03   -9.3207e-01   5.0562e+02   -2.5271e+02   2.9364e-02   -3.3677e-02   9.8715e-04   4.0717e-02
-6.2080e-06   -9.2479e-01   5.0520e+02   -2.5250e+02   3.0170e-02   -3.4185e-02   1.0754e-03   4.1176e-02
9.7742e-04   -9.1733e-01   5.0481e+02   -2.5232e+02   3.0929e-02   -3.4606e-02   1.1642e-03   4.1523e-02
1.9390e-03   -9.0970e-01   5.0446e+02   -2.5215e+02   3.1642e-02   -3.4942e-02   1.2530e-03   4.1761e-02
2.8743e-03   -9.0190e-01   5.0415e+02   -2.5201e+02   3.2307e-02   -3.5192e-02   1.3409e-03   4.1893e-02
3.7793e-03   -8.9396e-01   5.0388e+02   -2.5189e+02   3.2925e-02   -3.5360e-02   1.4276e-03   4.1922e-02
4.6502e-03   -8.8588e-01   5.0366e+02   -2.5179e+02   3.3494e-02   -3.5446e-02   1.5122e-03   4.1852e-02
5.4835e-03   -8.7767e-01   5.0349e+02   -2.5172e+02   3.4015e-02   -3.5453e-02   1.5942e-03   4.1687e-02
6.2764e-03   -8.6935e-01   5.0338e+02   -2.5167e+02   3.4487e-02   -3.5383e-02   1.6730e-03   4.1431e-02
7.0262e-03   -8.6093e-01   5.0332e+02   -2.5166e+02   3.4911e-02   -3.5241e-02   1.7482e-03   4.1089e-02
7.7305e-03   -8.5242e-01   5.0331e+02   -2.5167e+02   3.5288e-02   -3.5027e-02   1.8192e-03   4.0667e-02
8.3874e-03   -8.4383e-01   5.0337e+02   -2.5171e+02   3.5616e-02   -3.4747e-02   1.8855e-03   4.0170e-02
8.9956e-03   -8.3517e-01   5.0349e+02   -2.5179e+02   3.5898e-02   -3.4403e-02   1.9469e-03   3.9602e-02
9.5539e-03   -8.2646e-01   5.0367e+02   -2.5190e+02   3.6133e-02   -3.4000e-02   2.0030e-03   3.8970e-02
