# 
# U bar array from C:\Users\sethw\OneDrive\PythonFiles\grav_soliton\scripts\seth_temp\first_version.py
# 
# Max zeta: 25
# Zeta intervals: 2500
# Delta: 0.009996001599360257
# Epsilon convergence tolerance: 1e-06
# Zeta_s: 0.5
# Zeta_s_array: [0.01 0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5 ]
# 
# u_bar,  A,  B
#     
0.000000000000000000e+00 -1.125177947791683869e-01 0.000000000000000000e+00
-3.516233639284502624e-03 -1.125177105025598895e-01 1.465293551659797139e-06
-7.032300018929487327e-03 -1.125159923842901227e-01 4.395751520750164373e-06
-1.054803189428015105e-02 -1.125131289624703018e-01 9.279501774899620697e-06
-1.406326205060046651e-02 -1.125091204026977404e-01 1.611601820133344871e-05
-1.757782331806674245e-02 -1.125039669374024165e-01 2.490456603262420143e-05
-2.109154858671051513e-02 -1.124976688653378937e-01 3.564420092835725816e-05
-2.460427082138369470e-02 -1.124902265515437816e-01 4.833376903019975676e-05
-2.811582307670863756e-02 -1.124816404273125819e-01 6.297190712748360693e-05
-3.162603851199945887e-02 -1.124719109901455433e-01 7.955704286870063857e-05
-3.513475040619296053e-02 -1.124610388036986902e-01 9.808739500921831217e-05
-3.864179217277265155e-02 -1.124490244977199432e-01 1.185609736928832015e-04
-4.214699737465035095e-02 -1.124358687679780228e-01 1.409755807670035781e-04
-4.565019973905402872e-02 -1.124215723761834845e-01 1.653288101303456337e-04
-4.915123317239882689e-02 -1.124061361499019279e-01 1.916180481141087333e-04
-5.264993177512553024e-02 -1.123895609824595715e-01 2.198404738957429421e-04
-5.614612985652239069e-02 -1.123718478328412651e-01 2.499930599455445711e-04
-5.963966194954169880e-02 -1.123529977255809109e-01 2.820725725059415449e-04
-6.313036282555721523e-02 -1.123330117506444320e-01 3.160755721033760377e-04
-6.661806750914564534e-02 -1.123118910633051915e-01 3.519984140927171607e-04
-7.010261129278171077e-02 -1.122896368840119730e-01 3.898372492340819147e-04
-7.358382975155869365e-02 -1.122662504982495923e-01 4.295880243019719008e-04
-7.706155875784120868e-02 -1.122417332563919873e-01 4.712464827266172858e-04
-8.053563449591216727e-02 -1.122160865735480212e-01 5.148081652674288194e-04
-8.400589347655737504e-02 -1.121893119293998486e-01 5.602684107184170096e-04
-8.747217255164943528e-02 -1.121614108680340088e-01 6.076223566454524733e-04
-9.093430892867125637e-02 -1.121323849977651499e-01 6.568649401552805085e-04
-9.439214018519632987e-02 -1.121022359909525506e-01 7.079908986961005318e-04
-9.784550428335135608e-02 -1.120709655838092733e-01 7.609947708895813080e-04
-1.012942395842302556e-01 -1.120385755762042107e-01 8.158708973941893473e-04
-1.047381848622500194e-01 -1.120050678314568338e-01 8.726134217996630704e-04
-1.081771793194752224e-01 -1.119704442761248475e-01 9.312162915524613283e-04
-1.116110625998930489e-01 -1.119347068997846723e-01 9.916732589120278753e-04
-1.150396748036453809e-01 -1.118978577548048192e-01 1.053977881937712959e-03
-1.184628565011872636e-01 -1.118598989561122303e-01 1.118123525506154597e-03
-1.218804487474529213e-01 -1.118208326809515679e-01 1.184103362358965685e-03
-1.252922930958799697e-01 -1.117806611686374962e-01 1.251910374180513572e-03
-1.286982316124575254e-01 -1.117393867203000379e-01 1.321537352705594564e-03
-1.320981068896930899e-01 -1.116970116986229500e-01 1.392976900856843095e-03
-1.354917620604900730e-01 -1.116535385275752856e-01 1.466221433911623620e-03
-1.388790408120260944e-01 -1.116089696921360869e-01 1.541263180698225878e-03
-1.422597873995085638e-01 -1.115633077380122490e-01 1.618094184821134568e-03
-1.456338466599092496e-01 -1.115165552713496683e-01 1.696706305915144861e-03
-1.490010640256275443e-01 -1.114687149584376730e-01 1.777091220928108230e-03
-1.523612855380668818e-01 -1.114197895254067372e-01 1.859240425432081558e-03
-1.557143578611720758e-01 -1.113697817579196309e-01 1.943145234962616492e-03
-1.590601282948755357e-01 -1.113186945008559775e-01 2.028796786385970042e-03
-1.623984447884835314e-01 -1.112665306579902619e-01 2.116186039293963417e-03
-1.657291559539889603e-01 -1.112132931916633566e-01 2.205303777426254053e-03
-1.690521110793032911e-01 -1.111589851224476372e-01 2.296140610119738485e-03
-1.723671601414321353e-01 -1.111036095288057274e-01 2.388686973784848872e-03
