# 
# U bar array from C:\Users\sethw\OneDrive\PythonFiles\grav_soliton\scripts\seth_temp\first_version.py
# 
# Max zeta: 20
# Zeta intervals: 1500
# Delta: 0.013324450366422385
# Epsilon convergence tolerance: 1e-06
# Specific zeta_s: 0.742
# Zeta_s_array: [0.1   0.2   0.5   0.7   0.74  0.742]
# Epsilon array: [-0.16950924 -0.17737512 -0.21383332 -0.27816498 -0.32970297 -0.33972611]
# 
# u_bar,  A,  B
#     
0.000000000000000000e+00 -3.063163915014689431e-01 0.000000000000000000e+00
9.299252684223198104e-03 -3.063139738766929576e-01 1.422635936260040452e-05
1.859674808301161816e-02 -3.062924952703754977e-01 4.267463256284666516e-05
2.789072945079785343e-02 -3.062567031226855474e-01 9.007642476844491468e-05
3.717944111565180121e-02 -3.062066060305356774e-01 1.564131165999349971e-04
4.646112902099588243e-02 -3.061422160798131786e-01 2.416588163145278649e-04
5.573404126312863499e-02 -3.060635487960816636e-01 3.457802700349533955e-04
6.499642862877065552e-02 -3.059706231382758324e-01 4.687368673032563191e-04
7.424654513235513786e-02 -3.058634614918003258e-01 6.104806574937057979e-04
8.348264855292461539e-02 -3.057420896597967119e-01 7.709563707847706671e-04
9.270300097052115718e-02 -3.056065368527328685e-01 9.501014427262640316e-04
1.019058693020159917e-01 -3.054568356764403303e-01 1.147846042192701048e-03
1.110895258362672305e-01 -3.052930221186668236e-01 1.364113102667885175e-03
1.202522487685572378e-01 -3.051151355341809590e-01 1.598818356844931973e-03
1.293923227342288762e-01 -3.049232186284505097e-01 1.851870374538022810e-03
1.385080393413636313e-01 -3.047173174399095963e-01 2.123170603905935420e-03
1.475976977024866799e-01 -3.044974813208258801e-01 2.412613415988591314e-03
1.566596049651651501e-01 -3.042637629167777025e-01 2.720086152558594261e-03
1.656920768413864820e-01 -3.040162181447509382e-01 3.045469177289446879e-03
1.746934381356489152e-01 -3.037549061698638364e-01 3.388635930241951696e-03
1.836620232716109635e-01 -3.034798893807300058e-01 3.749452985670009494e-03
1.925961768171903510e-01 -3.031912333634685930e-01 4.127780113146215651e-03
2.014942540080525146e-01 -3.028890068743720909e-01 4.523470342007365926e-03
2.103546212692330997e-01 -3.025732818112419342e-01 4.936370029119036863e-03
2.191756567349011642e-01 -3.022441331834033185e-01 5.366318929957470535e-03
2.279557507660228965e-01 -3.019016390804105665e-01 5.813150273006171924e-03
2.366933064658368058e-01 -3.015458806394554769e-01 6.276690837463509698e-03
2.453867401929431535e-01 -3.011769420114911999e-01 6.756761034256270580e-03
2.540344820718903329e-01 -3.007949103260855184e-01 7.253174990352824307e-03
2.626349765010713155e-01 -3.003998756550172455e-01 7.765740636368105923e-03
2.711866826577591372e-01 -2.999919309746307272e-01 8.294259797451070462e-03
2.796880750000908522e-01 -2.995711721269634364e-01 8.838528287443414566e-03
2.881376437658383916e-01 -2.991376977796633141e-01 9.398336006296519052e-03
2.965338954677455563e-01 -2.986916093847122311e-01 9.973467040731619215e-03
3.048753533852484043e-01 -2.982330111359731695e-01 1.056369976812601870e-02
3.131605580523592058e-01 -2.977620099255791630e-01 1.116880696360592756e-02
3.213880677414940878e-01 -2.972787152991829829e-01 1.178855591032405836e-02
3.295564589430395319e-01 -2.967832394100872739e-01 1.242270851289754494e-02
3.376643268404029286e-01 -2.962756969722752931e-01 1.307102141397917770e-02
3.457102857803256435e-01 -2.957562052123634544e-01 1.373324611393205753e-02
3.536929697382014126e-01 -2.952248838204973302e-01 1.440912909357483854e-02
3.616110327781605349e-01 -2.946818549002140908e-01 1.509841193996173600e-02
3.694631495076297623e-01 -2.941272429172941405e-01 1.580083147515820921e-02
3.772480155261553336e-01 -2.935611746476266548e-01 1.651611988796991906e-02
3.849643478681521458e-01 -2.929837791241136080e-01 1.724400486857928169e-02
3.926108854393552394e-01 -2.923951875826378277e-01 1.798420974604027570e-02
4.001863894466415883e-01 -2.917955334071217766e-01 1.873645362857864760e-02
4.076896438209600682e-01 -2.911849520737041508e-01 1.950045154664080405e-02
4.151194556330622398e-01 -2.905635810940622177e-01 2.027591459863100840e-02
4.224746555017133698e-01 -2.899315599579085911e-01 2.106255009927246111e-02
4.297540979941260053e-01 -2.892890300746923105e-01 2.186006173052394697e-02
4.369566620182301908e-01 -2.886361347145342537e-01 2.266814969497978408e-02
4.440812512065326345e-01 -2.879730189484277503e-01 2.348651087167652821e-02
