# 
# U bar array from C:\Users\sethw\OneDrive\PythonFiles\grav_soliton\scripts\seth_temp\first_version.py
# 
# Max zeta: 25
# Zeta intervals: 1500
# Delta: 0.016655562958027982
# Epsilon convergence tolerance: 1e-06
# Specific zeta_s: 0.74
# Zeta_s_array: [0.01  0.05  0.1   0.15  0.2   0.25  0.3   0.35  0.4   0.45  0.5   0.55
#  0.6   0.65  0.7   0.705 0.71  0.715 0.72  0.725 0.73  0.735 0.74 ]
# Epsilon array: [-0.27817853 -0.28177202 -0.28571246 -0.29007634 -0.29498559 -0.30062958
#  -0.30732953 -0.31570503 -0.32723385  0.          0.          0.
#   0.          0.          0.          0.          0.          0.
#   0.          0.          0.          0.          0.        ]
# 
# u_bar,  A,  B
#     
0.000000000000000000e+00 -2.908784047949885543e-01 0.000000000000000000e+00
1.099654315490172958e-02 -2.908752089369353588e-01 1.992023498317621317e-05
2.199005180885278687e-02 -2.908457023317750911e-01 5.975154524948916548e-05
3.297749282976070867e-02 -2.907965357160967046e-01 1.261123521313602591e-04
4.395583580881760183e-02 -2.907277262617457003e-01 2.189643725254609855e-04
5.492205443325631070e-02 -2.906392981035174072e-01 3.382543657368450698e-04
6.587312784889715056e-02 -2.905312822375060167e-01 4.839139709199114046e-04
7.680604202247358347e-02 -2.904037165025026845e-01 6.558597345255204412e-04
8.771779110267950708e-02 -2.902566455589135064e-01 8.539931626581030721e-04
9.860537877957287201e-02 -2.900901208627482686e-01 1.078200786030597460e-03
1.094658196419891760e-01 -2.899042006349797362e-01 1.328354235633018863e-03
1.202961405326356259e-01 -2.896989498265260532e-01 1.604310328705942090e-03
1.310933819005212497e-01 -2.894744400789965311e-01 1.905911164909650972e-03
1.418545991503983583e-01 -2.892307496812838163e-01 2.232984232655864983e-03
1.525768639888156475e-01 -2.889679635220575027e-01 2.585342525590846475e-03
1.632572657664025095e-01 -2.886861730382015989e-01 2.962784669224565945e-03
1.738929128160098536e-01 -2.883854761592343774e-01 3.365095057701836603e-03
1.844809337862167442e-01 -2.880659772477459080e-01 3.792044000709584358e-03
1.950184789698282961e-01 -2.877277870358895262e-01 4.243387880512141871e-03
2.055027216268247858e-01 -2.873710225579646504e-01 4.718869319103120331e-03
2.159308593012940480e-01 -2.869958070791301386e-01 5.218217355458274614e-03
2.263001151318125570e-01 -2.866022700202891516e-01 5.741147632869294561e-03
2.366077391547252162e-01 -2.861905468791891560e-01 6.287362596333124706e-03
2.468510095997367149e-01 -2.857607791477831394e-01 6.856551699965679827e-03
2.570272341772000813e-01 -2.853131142259005548e-01 7.448391624402134550e-03
2.671337513564736588e-01 -2.848477053312797880e-01 8.062546504138961775e-03
2.771679316346328803e-01 -2.843647114060158243e-01 8.698668164764888910e-03
2.871271787949092325e-01 -2.838642970194804049e-01 9.356396370019509287e-03
2.970089311540340948e-01 -2.833466322677749560e-01 1.003535907860927077e-02
3.068106627977628120e-01 -2.828118926697786861e-01 1.073517271070028450e-02
3.165298848038227697e-01 -2.822602590598585759e-01 1.145544242399724848e-02
3.261641464513468924e-01 -2.816919174773096501e-01 1.219576239930655025e-02
3.357110364160331706e-01 -2.811070590525983626e-01 1.295571613546948019e-02
3.451681839500679860e-01 -2.805058798904843664e-01 1.373487675353915645e-02
3.545332600459333849e-01 -2.798885809500989974e-01 1.453280731006160141e-02
3.638039785831042594e-01 -2.792553679220627916e-01 1.534906111930761652e-02
3.729780974566980212e-01 -2.786064511027270263e-01 1.618318208428782060e-02
3.820534196870040700e-01 -2.779420452656275464e-01 1.703470503636836733e-02
3.910277945089063456e-01 -2.772623695302426361e-01 1.790315608328932329e-02
3.998991184400951249e-01 -2.765676472281500820e-01 1.878805296537179592e-02
4.086653363270209005e-01 -2.758581057666817937e-01 1.968890541968375957e-02
4.173244423674217218e-01 -2.751339764901772345e-01 2.060521555191768134e-02
4.258744811083426951e-01 -2.743954945389409095e-01 2.153647821571592208e-02
4.343135484184728612e-01 -2.736428987060120499e-01 2.248218139916271022e-02
4.426397924336210599e-01 -2.728764312918573465e-01 2.344180661814380257e-02
4.508514144741796459e-01 -2.720963379571020857e-01 2.441482931625707856e-02
4.589466699333671906e-01 -2.713028675734164286e-01 2.540071927093972073e-02
4.669238691350481862e-01 -2.704962720726785119e-01 2.639894100545965225e-02
4.747813781599234395e-01 -2.696768062945371636e-01 2.740895420640086788e-02
4.825176196389210914e-01 -2.688447278325015732e-01 2.843021414625491322e-02
4.901310735124949081e-01 -2.680002968786868722e-01 2.946217211071290240e-02
4.976202777547628631e-01 -2.671437760673479045e-01 3.050427583023524597e-02
5.049838290611634584e-01 -2.662754303173360260e-01 3.155596991545970426e-02
5.122203834985172843e-01 -2.653955266736160445e-01 3.261669629599130149e-02
5.193286571163575616e-01 -2.645043341479825227e-01 3.368589466210204775e-02
5.263074265183045330e-01 -2.636021235591176626e-01 3.476300290885315364e-02
5.331555293924263861e-01 -2.626891673721338250e-01 3.584745758213733063e-02
5.398718649995143393e-01 -2.617657395377468443e-01 3.693869432612507941e-02
5.464553946181376354e-01 -2.608321153312266882e-01 3.803614833158616704e-02
5.529051419455220939e-01 -2.598885711912742869e-01 3.913925478454480938e-02
5.592201934532641250e-01 -2.589353845589745795e-01 4.024744931471616743e-02
5.653996986969272998e-01 -2.579728337169764352e-01 4.136016844316221103e-02
5.714428705786275264e-01 -2.570011976290508815e-01 4.247685002859558079e-02
5.773489855618403332e-01 -2.560207557801804645e-01 4.359693371175285548e-02
5.831173838375648399e-01 -2.550317880173316731e-01 4.471986135725252581e-02
5.887474694412098142e-01 -2.540345743910632503e-01 4.584507749234791735e-02
5.942387103195039266e-01 -2.530293949981227697e-01 4.697202974198184944e-02
5.995906383469032930e-01 -2.520165298251832997e-01 4.810016925954816586e-02
6.048028492909427456e-01 -2.509962585938713686e-01 4.922895115276473138e-02
6.098750027261468087e-01 -2.499688606072363317e-01 5.035783490406384871e-02
6.148068218961342257e-01 -2.489346145978098557e-01 5.148628478490871463e-02
6.195980935236722331e-01 -2.478937985774029018e-01 5.261377026344944002e-02
6.242486675684656428e-01 -2.468466896887852036e-01 5.373976640493807744e-02
6.287584569326438722e-01 -2.457935640593906235e-01 5.486375426433008629e-02
6.331274371139040680e-01 -2.447346966571886939e-01 5.598522127050915148e-02
6.373556458064453256e-01 -2.436703611488607035e-01 5.710366160158371340e-02
6.414431824498655343e-01 -2.426008297604146380e-01 5.821857655071652898e-02
6.453902077263011794e-01 -2.415263731403707037e-01 5.932947488196327335e-02
6.491969430062127788e-01 -2.404472602256451097e-01 6.043587317561230354e-02
6.528636697432929070e-01 -2.393637581102561751e-01 6.153729616253575396e-02
6.563907288190674594e-01 -2.382761319169725278e-01 6.263327704708158972e-02
6.597785198378869342e-01 -2.371846446720184964e-01 6.372335781805714416e-02
6.630275003730617955e-01 -2.360895571829477735e-01 6.480708954737693372e-02
6.661381851650675090e-01 -2.349911279197907932e-01 6.588403267597173207e-02
6.691111452726997699e-01 -2.338896128995764101e-01 6.695375728658072012e-02
6.719470071783406606e-01 -2.327852655743232191e-01 6.801584336307467393e-02
6.746464518484391881e-01 -2.316783367225903334e-01 6.906988103598583895e-02
6.772102137504694142e-01 -2.305690743446711932e-01 7.011547081394865766e-02
6.796390798277022194e-01 -2.294577235615086197e-01 7.115222380078489728e-02
6.819338884331959116e-01 -2.283445265174028904e-01 7.217976189799668596e-02
6.840955282245585467e-01 -2.272297222865786448e-01 7.319771799246224675e-02
6.861249370210011911e-01 -2.261135467836698221e-01 7.420573612916080142e-02
6.880231006243603398e-01 -2.249962326781753674e-01 7.520347166878467438e-02
6.897910516058535224e-01 -2.238780093129322246e-01 7.619059143012953117e-02
6.914298680602791736e-01 -2.227591026266452223e-01 7.716677381718603512e-02
6.929406723295954418e-01 -2.216397350805068278e-01 7.813170893088923485e-02
6.943246296977138021e-01 -2.205201255889329692e-01 7.908509866551451106e-02
6.955829470585198626e-01 -2.194004894544349937e-01 8.002665678974177355e-02
6.967168715590823513e-01 -2.182810383066401405e-01 8.095610901244175428e-02
6.977276892201274006e-01 -2.171619800454671623e-01 8.187319303327073028e-02
6.986167235358040628e-01 -2.160435187884565400e-01 8.277765857819105455e-02
6.993853340549013309e-01 -2.149258548222482412e-01 8.366926742006608464e-02
7.000349149455820097e-01 -2.138091845581940320e-01 8.454779338450814363e-02
7.005668935458523316e-01 -2.126937004920841923e-01 8.541302234118773595e-02
7.009827289018041308e-01 -2.115795911679627106e-01 8.626475218084078689e-02
7.012839102959212978e-01 -2.104670411459990675e-01 8.710279277823776423e-02
7.014719557674801154e-01 -2.093562309743781380e-01 8.792696594140529676e-02
7.015484106272694698e-01 -2.082473371651645255e-01 8.873710534741598155e-02
7.015148459687300386e-01 -2.071405321740920347e-01 8.953305646508570581e-02
7.013728571776373100e-01 -2.060359843842229643e-01 9.031467646494076296e-02
7.011240624423964451e-01 -2.049338580934174925e-01 9.108183411683810904e-02
7.007701012670477514e-01 -2.038343135055479816e-01 9.183440967564132640e-02
7.003126329889771684e-01 -2.027375067253884000e-01 9.257229475537397112e-02
6.997533353033049686e-01 -2.016435897571045022e-01 9.329539219228787095e-02
6.990939027959539587e-01 -2.005527105062662185e-01 9.400361589729934464e-02
6.983360454871976319e-01 -1.994650127852998778e-01 9.469689069825998340e-02
6.974814873876129528e-01 -1.983806363222935798e-01 9.537515217254025068e-02
6.965319650681506269e-01 -1.972997167730664303e-01 9.603834647041446793e-02
6.954892262460978802e-01 -1.962223857364084889e-01 9.668643012974469098e-02
6.943550283885401297e-01 -1.951487707723954801e-01 9.731936988246769893e-02
6.931311373349461347e-01 -1.940789954236801784e-01 9.793714245339504854e-02
6.918193259403768725e-01 -1.930131792396592438e-01 9.853973435183988050e-02
6.904213727407649825e-01 -1.919514378034128110e-01 9.912714165658675913e-02
6.889390606416205820e-01 -1.908938827613121669e-01 9.969936979472132643e-02
6.873741756315085993e-01 -1.898406218551893232e-01 1.002564333148360243e-01
6.857285055214384917e-01 -1.887917589569610144e-01 1.007983556551264592e-01
6.840038387113720475e-01 -1.877473941055986528e-01 1.013251689068891265e-01
6.822019629848394828e-01 -1.867076235463350498e-01 1.018369135739266990e-01
6.803246643327032217e-01 -1.856725397719985460e-01 1.023336383283609402e-01
6.783737258069137965e-01 -1.846422315663645841e-01 1.028153997633462213e-01
6.763509264051023040e-01 -1.836167840494148384e-01 1.032822621431684490e-01
6.742580399867121876e-01 -1.825962787243946561e-01 1.037342971512044826e-01
6.720968342213403668e-01 -1.815807935265594808e-01 1.041715836362070852e-01
6.698690695698669151e-01 -1.805704028735023170e-01 1.045942073573688652e-01
6.675764982988212637e-01 -1.795651777169544605e-01 1.050022607286067999e-01
