# 
# U bar array from C:\Users\sethw\OneDrive\PythonFiles\grav_soliton\scripts\seth_temp\first_version.py
# 
# Max zeta: 25
# Zeta intervals: 2000
# Delta: 0.01249375312343828
# Epsilon convergence tolerance: 1e-06
# Specific zeta_s: 0.74
# Zeta_s_array: [0.7   0.705 0.71  0.715 0.72  0.725 0.73  0.735 0.74 ]
# Epsilon array: [-0.27816207 -0.28175395 -0.28569237 -0.2900537  -0.29495958 -0.30059886
#  -0.30729174 -0.31565523 -0.32715863]
# 
# u_bar,  A,  B
#     
0.000000000000000000e+00 -2.907917690637366603e-01 0.000000000000000000e+00
8.246048336612670643e-03 -2.907899725879227182e-01 1.120172134609690054e-05
1.649081681665160934e-02 -2.907733818197943410e-01 3.360226680916450514e-05
2.473302590825133401e-02 -2.907457340371970012e-01 7.092869270673747974e-05
3.297139672556170797e-02 -2.907070346716759679e-01 1.231688867411113628e-04
4.120465135446427229e-02 -2.906572913591956020e-01 1.903059992778579853e-04
4.943151317594714905e-02 -2.905965139100182282e-01 2.723183870454476841e-04
5.765070718954123929e-02 -2.905247143054205394e-01 3.691796155146643264e-04
6.586096033662794391e-02 -2.904419066941995586e-01 4.808584677539575521e-04
7.406100182349231731e-02 -2.903481073881903352e-01 6.073189558664552441e-04
8.224956344414471876e-02 -2.902433348568878024e-01 7.485203344119422796e-04
9.042537990283802674e-02 -2.901276097212487914e-01 9.044171156840702039e-04
9.858718913624876790e-02 -2.900009547467145010e-01 1.074959086807677914e-03
1.067337326352581217e-01 -2.898633948354755741e-01 1.260091328645572637e-03
1.148637557663369085e-01 -2.897149570179916589e-01 1.459754236511254331e-03
1.229760080924129917e-01 -2.895556704437737827e-01 1.673883542686509804e-03
1.310692436932605065e-01 -2.893855663714356430e-01 1.902410340743555112e-03
1.391422214853024752e-01 -2.892046781580179804e-01 2.145261111671773260e-03
1.471937055408061301e-01 -2.890130412475910848e-01 2.402357751809019483e-03
1.552224654063924791e-01 -2.888106931591387649e-01 2.673617602577363101e-03
1.632272764208413385e-01 -2.885976734737289440e-01 2.958953482022960452e-03
1.712069200321098827e-01 -2.883740238209738793e-01 3.258273718159551691e-03
1.791601841135192497e-01 -2.881397878647851685e-01 3.571482184114827072e-03
1.870858632790300125e-01 -2.878950112884278711e-01 3.898478335078535591e-03
1.949827591975824559e-01 -2.876397417788782995e-01 4.239157247050906983e-03
2.028496809063796424e-01 -2.873740290104906947e-01 4.593409657389553938e-03
2.106854451231062464e-01 -2.870979246279777297e-01 4.961122007152547753e-03
2.184888765569655000e-01 -2.868114822287105570e-01 5.342176485234969956e-03
2.262588082184809612e-01 -2.865147573443436735e-01 5.736451074295644340e-03
2.339940817279823060e-01 -2.862078074217712098e-01 6.143819598470145853e-03
