# 
# U bar array from C:\Users\sethw\OneDrive\PythonFiles\grav_soliton\scripts\seth_temp\first_version.py
# 
# Max zeta: 25
# Zeta intervals: 1500
# Delta: 0.016655562958027982
# Epsilon convergence tolerance: 1e-06
# Specific zeta_s: 0.7
# Zeta_s_array: [0.01 0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65
#  0.7 ]
# Epsilon array: [-0.16340164 -0.16601524 -0.16950475 -0.17327514 -0.17737296 -0.18185627
#  -0.18679855 -0.19230023 -0.19849603 -0.20557908 -0.21383644 -0.2237292
#  -0.23607626 -0.2525821  -0.27809189]
# 
# u_bar,  A,  B
#     
0.000000000000000000e+00 -2.221436881962343679e-01 0.000000000000000000e+00
8.640444209986603355e-03 -2.221422725831165290e-01 1.187797807995023568e-05
1.727910138361083217e-02 -2.221261481544592742e-01 3.562968488327645535e-05
2.591418511159252619e-02 -2.220992785827630434e-01 7.520441810773061423e-05
3.454391023451723608e-02 -2.220616707758690245e-01 1.305845794567069506e-04
4.316649347068779452e-02 -2.220133344398168840e-01 2.017456573281385895e-04
5.178015404095836355e-02 -2.219542820431180119e-01 2.886561710926624264e-04
6.038311429321789603e-02 -2.218845288109586589e-01 3.912776823671002034e-04
6.897360032621113746e-02 -2.218040927188021094e-01 5.095648153765903587e-04
7.754984261249474320e-02 -2.217129944844665468e-01 6.434652820828817583e-04
8.611007662037968580e-02 -2.216112575587691480e-01 7.929199114111767834e-04
9.465254343473179788e-02 -2.214989081148190930e-01 9.578626824240698071e-04
1.031754903764058179e-01 -2.213759750360059786e-01 1.138220761395243195e-03
1.116771716202418635e-01 -2.212424899027096437e-01 1.333914542761231205e-03
1.201558488113771694e-01 -2.210984869777487261e-01 1.544857693936632723e-03
1.286097916797732665e-01 -2.209440031905801349e-01 1.770957203979387504e-03
1.370372786527522535e-01 -2.207790781202599029e-01 2.012113436092660083e-03
1.454365974653439308e-01 -2.206037539771752709e-01 2.268220183948638485e-03
1.538060457683247673e-01 -2.204180755835573047e-01 2.539164731818344643e-03
1.621439317336900721e-01 -2.202220903527836449e-01 2.824827918490063327e-03
1.704485746574445071e-01 -2.200158482674813565e-01 3.125084204957451380e-03
1.787183055594115388e-01 -2.197994018564403962e-01 3.439801745856523388e-03
1.869514677799781477e-01 -2.195728061703484113e-01 3.768842464629033277e-03
1.951464175734339002e-01 -2.193361187563585279e-01 4.112062132387775751e-03
2.033015246978032708e-01 -2.190893996315020908e-01 4.469310450457297974e-03
2.114151730008694274e-01 -2.188327112549591502e-01 4.840431136561466202e-03
2.194857610022017957e-01 -2.185661184991999351e-01 5.225262014627127249e-03
2.275117024708942226e-01 -2.182896886200114683e-01 5.623635108170665226e-03
2.354914269988527820e-01 -2.180034912254237844e-01 6.035376737231837492e-03
2.434233805693151176e-01 -2.177075982435512091e-01 6.460307618816979632e-03
2.513060261203366452e-01 -2.174020838893647167e-01 6.898242970810736230e-03
2.591378441030452451e-01 -2.170870246304119067e-01 7.348992619312857445e-03
2.669173330343099226e-01 -2.167624991515023081e-01 7.812361109353858739e-03
2.746430100436046406e-01 -2.164285883183756642e-01 8.288147818940286293e-03
2.823134114137340611e-01 -2.160853751403725154e-01 8.776147076377343453e-03
2.899270931151659569e-01 -2.157329447321261473e-01 9.276148280813507549e-03
2.974826313336438877e-01 -2.153713842742966122e-01 9.787936025948597990e-03
3.049786229907863744e-01 -2.150007829733672216e-01 1.031129022684344580e-02
3.124136862573363982e-01 -2.146212320205257429e-01 1.084598624976591819e-02
3.197864610587807799e-01 -2.142328245496523953e-01 1.139179504500458656e-02
3.270956095729764534e-01 -2.138356555944378457e-01 1.194848328257788576e-02
3.343398167194808757e-01 -2.134298220446551875e-01 1.251581349076300378e-02
3.415177906402303565e-01 -2.130154226016102714e-01 1.309354419736513155e-02
3.486282631712280811e-01 -2.125925577327959504e-01 1.368143007364395689e-02
3.556699903049205247e-01 -2.121613296257759962e-01 1.427922208081059199e-02
3.626417526428915572e-01 -2.117218421413257223e-01 1.488666761900448929e-02
3.695423558385200202e-01 -2.112742007658564847e-01 1.550351067865602187e-02
3.763706310292697643e-01 -2.108185125631523438e-01 1.612949199413662299e-02
3.831254352582348366e-01 -2.103548861254477820e-01 1.676434919959474829e-02
3.898056518845709473e-01 -2.098834315238756743e-01 1.740781698687191709e-02
3.964101909825116787e-01 -2.094042602583160995e-01 1.805962726538952456e-02
4.029379897285278456e-01 -2.089174852066765509e-01 1.871950932389335881e-02
4.093880127763576127e-01 -2.084232205736350485e-01 1.938718999393911763e-02
4.157592526194532345e-01 -2.079215818388781833e-01 2.006239381499855950e-02
4.220507299405832358e-01 -2.074126857048668726e-01 2.074484320106224911e-02
4.282614939481829142e-01 -2.068966500441631329e-01 2.143425860861165183e-02
4.343906226991050001e-01 -2.063735938463513997e-01 2.213035870582983830e-02
4.404372234074288572e-01 -2.058436371645890328e-01 2.283286054291670461e-02
4.464004327390077576e-01 -2.053069010618206180e-01 2.354147972337143971e-02
4.522794170913980727e-01 -2.047635075566918428e-01 2.425593057610217484e-02
4.580733728588275988e-01 -2.042135795691979727e-01 2.497592632821973510e-02
4.637815266819096949e-01 -2.036572408661039002e-01 2.570117927836952296e-02
4.694031356817767175e-01 -2.030946160061719297e-01 2.643140097045322892e-02
4.749374876783335475e-01 -2.025258302852344372e-01 2.716630236758955583e-02
4.803839013923323353e-01 -2.019510096811485411e-01 2.790559402616111379e-02
4.857417266309698167e-01 -2.013702807986705035e-01 2.864898626979251600e-02
4.910103444567642805e-01 -2.007837708142874156e-01 2.939618936310287034e-02
4.961891673394358548e-01 -2.001916074210444707e-01 3.014691368507452576e-02
5.012776392905333722e-01 -1.995939187734058484e-01 3.090086990187844440e-02
5.062752359806078628e-01 -1.989908334321874583e-01 3.165776913899556039e-02
5.111814648386892035e-01 -1.983824803096001788e-01 3.241732315247276841e-02
5.159958651338619751e-01 -1.977689886144415321e-01 3.317924449915157087e-02
