# 
# U bar array from C:\Users\sethw\OneDrive\PythonFiles\grav_soliton\scripts\seth_temp\first_version.py
# 
# Max zeta: 25
# Zeta intervals: 2000
# Delta: 0.01249375312343828
# Epsilon convergence tolerance: 1e-06
# Specific zeta_s: 0.7
# Zeta_s_array: [0.01 0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65
#  0.7 ]
# Epsilon array: [-0.16340061 -0.16601414 -0.16950355 -0.17327381 -0.17737149 -0.18185462
#  -0.18679669 -0.19229811 -0.19849357 -0.20557617 -0.2138329  -0.22372475
#  -0.23607033 -0.25257336 -0.27807558]
# 
# u_bar,  A,  B
#     
0.000000000000000000e+00 -2.221277870316219760e-01 0.000000000000000000e+00
6.480901849329216181e-03 -2.221269906834972552e-01 6.682581903167313018e-06
1.296104955519540580e-02 -2.221179191802716280e-01 2.004640060051626456e-05
1.943968912302289700e-02 -2.221028014250638893e-01 4.231580871066752830e-05
2.591606685499446908e-02 -2.220816396047439467e-01 7.348523425613595183e-05
3.238942949916277098e-02 -2.220544367926434448e-01 1.135469144625634121e-04
3.885902439789481327e-02 -2.220211969378665939e-01 1.624908762250867889e-04
4.532409963626919669e-02 -2.219819248642508625e-01 2.203049372392229955e-04
5.178390419043117643e-02 -2.219366262693132363e-01 2.869747094686928945e-04
5.823768807579011997e-02 -2.218853077228890025e-01 3.624836035830406229e-04
6.468470249511139303e-02 -2.218279766654910057e-01 4.468128341550467843e-04
7.112419998645874708e-02 -2.217646414064146920e-01 5.399414255715889819e-04
7.755543457093086457e-02 -2.216953111216024563e-01 6.418462186445670313e-04
8.397766190023586708e-02 -2.216199958512746759e-01 7.525018779172324389e-04
9.039013940404332093e-02 -2.215387064973312614e-01 8.718808996634604905e-04
9.679212643709150798e-02 -2.214514548205264444e-01 9.999536205784300465e-04
1.031828844260441053e-01 -2.213582534374185506e-01 1.136688227159207741e-03
1.095616770160745129e-01 -2.212591158170962302e-01 1.282050765773904864e-03
1.159277702171303825e-01 -2.211540562776821151e-01 1.436005153417875156e-03
1.222804325498974276e-01 -2.210430899826151818e-01 1.598513189155373413e-03
1.286189351914056311e-01 -2.209262329367130406e-01 1.769534566245000665e-03
1.349425521202659017e-01 -2.208035019820149547e-01 1.949026884947046385e-03
1.412505602615209410e-01 -2.206749147934068955e-01 2.136945666010795462e-03
1.475422396310679118e-01 -2.205404898740297437e-01 2.333244364839628937e-03
1.538168734796491466e-01 -2.204002465504718566e-01 2.537874386331625404e-03
1.600737484363725649e-01 -2.202542049677471969e-01 2.750785100393263530e-03
1.663121546517256077e-01 -2.201023860840604640e-01 2.971923858123549662e-03
1.725313859400884609e-01 -2.199448116653604235e-01 3.201236008665791274e-03
1.787307399216862269e-01 -2.197815042796829876e-01 3.438664916724050967e-03
1.849095181639726082e-01 -2.196124872912855186e-01 3.684151980741115148e-03
1.910670263224045484e-01 -2.194377848545738530e-01 3.937636651734611158e-03
1.972025742805829374e-01 -2.192574219078237130e-01 4.199056452787705389e-03
2.033154762897252943e-01 -2.190714241666981144e-01 4.468346999190553857e-03
2.094050511074680432e-01 -2.188798181175626578e-01 4.745442019228576953e-03
2.154706221359066198e-01 -2.186826310106003146e-01 5.030273375613305252e-03
2.215115175589051910e-01 -2.184798908527277594e-01 5.322771087551275704e-03
2.275270704786225839e-01 -2.182716264003151108e-01 5.622863353446357765e-03
2.335166190511766271e-01 -2.180578671517110767e-01 5.930476574230520402e-03
2.394795066214999157e-01 -2.178386433395755883e-01 6.245535377317766416e-03
2.454150818572735371e-01 -2.176139859230221962e-01 6.567962641175859040e-03
2.513226988819332042e-01 -2.173839265795722009e-01 6.897679520510006067e-03
2.572017174067286471e-01 -2.171484976969230429e-01 7.234605472052484630e-03
2.630515028617607109e-01 -2.169077323645331457e-01 7.578658280951866208e-03
2.688714265260043756e-01 -2.166616643650257357e-01 7.929754087755232564e-03
2.746608656562380402e-01 -2.164103281654142230e-01 8.287807415976447198e-03
2.804192036148701606e-01 -2.161537589081513611e-01 8.652731200243303153e-03
2.861458299965867758e-01 -2.158919924020052394e-01 9.024436815015903987e-03
2.918401407538424586e-01 -2.156250651127647189e-01 9.402834103868431756e-03
2.975015383210801723e-01 -2.153530141537768339e-01 9.787831409326130591e-03
3.031294317376943548e-01 -2.150758772763193549e-01 1.017933560324894328e-02
3.087232367696556290e-01 -2.147936928598112583e-01 1.057725211775290518e-02
3.142823760297939750e-01 -2.145064999018642116e-01 1.098148497666004940e-02
3.198062790966565427e-01 -2.142143380081780180e-01 1.139193682746726319e-02
3.252943826319324994e-01 -2.139172473822834042e-01 1.180850897382412258e-02
3.307461304963817961e-01 -2.136152688151350953e-01 1.223110140850949476e-02
3.361609738641932466e-01 -2.133084436745586177e-01 1.265961284689614934e-02
3.415383713358159379e-01 -2.129968138945542155e-01 1.309394076089235096e-02
3.468777890490936100e-01 -2.126804219644613247e-01 1.353398141334905859e-02
3.521787007887881571e-01 -2.123593109179870153e-01 1.397962989292092680e-02
3.574405880943229974e-01 -2.120335243221021237e-01 1.443078014936899182e-02
3.626629403657941064e-01 -2.117031062658085994e-01 1.488732502929246415e-02
3.678452549681435202e-01 -2.113681013487818117e-01 1.534915631227671932e-02
3.729870373334808753e-01 -2.110285546698917603e-01 1.581616474744421477e-02
3.780878010614813212e-01 -2.106845118156069341e-01 1.628824009039466642e-02
3.831470680178329369e-01 -2.103360188482846227e-01 1.676527114052039913e-02
3.881643684306717579e-01 -2.099831222943518982e-01 1.724714577868251969e-02
3.931392409849544523e-01 -2.096258691323812928e-01 1.773375100523303868e-02
3.980712329147437778e-01 -2.092643067810650848e-01 1.822497297836780245e-02
4.029599000933246078e-01 -2.088984830870927456e-01 1.872069705279476651e-02
4.078048071211137215e-01 -2.085284463129354338e-01 1.922080781870154353e-02
4.126055274113724081e-01 -2.081542451245421144e-01 1.972518914100611365e-02
4.173616432735398618e-01 -2.077759285789515797e-01 2.023372419887408541e-02
4.220727459943032223e-01 -2.073935461118247003e-01 2.074629552548543435e-02
4.267384359162282870e-01 -2.070071475249017079e-01 2.126278504803347236e-02
4.313583225139844823e-01 -2.066167829733886185e-01 2.178307412793846834e-02
4.359320244680509049e-01 -2.062225029532778198e-01 2.230704360125786850e-02
4.404591697359511726e-01 -2.058243582886071510e-01 2.283457381927487054e-02
4.449393956208471113e-01 -2.054224001186622794e-01 2.336554468924683867e-02
4.493723488375670483e-01 -2.050166798851272565e-01 2.389983571529455397e-02
4.537576855759483663e-01 -2.046072493191878061e-01 2.443732603941317291e-02
4.580950715614873769e-01 -2.041941604285923140e-01 2.497789448258552758e-02
4.623841821132255170e-01 -2.037774654846754019e-01 2.552141958597800228e-02
4.666247021988660926e-01 -2.033572170093488618e-01 2.606777965219905097e-02
4.708163264870437459e-01 -2.029334677620650840e-01 2.661685278660017723e-02
4.749587593967383725e-01 -2.025062707267577811e-01 2.716851693859892100e-02
4.790517151437880261e-01 -2.020756790987650597e-01 2.772264994300337182e-02
4.830949177844173770e-01 -2.016417462717400022e-01 2.827912956131733296e-02
4.870881012558471168e-01 -2.012045258245535595e-01 2.883783352300508043e-02
4.910310094138386483e-01 -2.007640715081951410e-01 2.939863956669480638e-02
4.949233960672007604e-01 -2.003204372326756189e-01 2.996142548129929542e-02
4.987650250092475757e-01 -1.998736770539382979e-01 3.052606914703256957e-02
5.025556700460793724e-01 -1.994238451607825147e-01 3.109244857630102249e-02
5.062951150217925855e-01 -1.989709958618052776e-01 3.166044195444738668e-02
5.099831538404686615e-01 -1.985151835723661107e-01 3.222992768032600930e-02
5.136195904850020533e-01 -1.980564628015800133e-01 3.280078440668777323e-02
5.172042390326829775e-01 -1.975948881393438106e-01 3.337289108035294827e-02
5.207369236675563062e-01 -1.971305142434009727e-01 3.394612698215031255e-02
5.242174786895065219e-01 -1.966633958264500381e-01 3.452037176660090884e-02
5.276457485200617414e-01 -1.961935876433017201e-01 3.509550550132475161e-02
5.310215877049108135e-01 -1.957211444780898590e-01 3.567140870614898124e-02
