# 
# U bar array from C:\Users\sethw\OneDrive\PythonFiles\grav_soliton\scripts\seth_temp\first_version.py
# 
# Max zeta: 25
# Zeta intervals: 2500
# Delta: 0.009996001599360257
# Epsilon convergence tolerance: 1e-06
# Zeta_s: 0.7
# Zeta_s_array: [0.01 0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65
#  0.7 ]
# 
# u_bar,  A,  B
#     
0.000000000000000000e+00 -2.221204254853666737e-01 0.000000000000000000e+00
5.185050546821006953e-03 -2.221199157798043056e-01 4.277409110714098034e-06
1.036971488941989226e-02 -2.221141093044207426e-01 1.283167621400571727e-05
1.555360687237452438e-02 -2.221044324259467406e-01 2.708730356374386788e-05
2.073634043755722203e-02 -2.220908860404310348e-01 4.704200795488307782e-05
2.591752967298512067e-02 -2.220734714072578331e-01 7.269260810781430862e-05
3.109678886151613988e-02 -2.220521901448850310e-01 1.040350163055774556e-04
3.627373252950505389e-02 -2.220270442305692371e-01 1.410642383945382035e-04
4.144797549547041965e-02 -2.219980360001186925e-01 1.837743746400679300e-04
4.661913291872231413e-02 -2.219651681475532934e-01 2.321586208770025025e-04
5.178682034796617401e-02 -2.219284437246835384e-01 2.862092698690999913e-04
5.695065376987792916e-02 -2.218878661406185060e-01 3.459177128586127985e-04
6.211024965763051880e-02 -2.218434391612081336e-01 4.112744413006996433e-04
6.726522501940465637e-02 -2.217951669084230193e-01 4.822690487809904911e-04
7.241519744681884641e-02 -2.217430538596728562e-01 5.588902331155347260e-04
7.755978516336688167e-02 -2.216871048470647476e-01 6.411257986327675417e-04
8.269860707272889966e-02 -2.216273250566017095e-01 7.289626586372113847e-04
8.783128280707942770e-02 -2.215637200273218588e-01 8.223868380545909301e-04
9.295743277533818905e-02 -2.214962956503786218e-01 9.213834762582435740e-04
9.807667821129219254e-02 -2.214250581680620167e-01 1.025936830076490912e-03
1.031886412217179749e-01 -2.213500141727615389e-01 1.136030276980648382e-03
1.082929448343999262e-01 -2.212711706058705652e-01 1.251646318453506108e-03
1.133892130460601583e-01 -2.211885347566326099e-01 1.372766583537921850e-03
1.184770708702092973e-01 -2.211021142609296553e-01 1.499371832565128595e-03
1.235561443849103741e-01 -2.210119171000127780e-01 1.631441961062473928e-03
1.286260607804598499e-01 -2.209179515991750720e-01 1.768956003840187197e-03
1.336864484069480996e-01 -2.208202264263675052e-01 1.911892139256813651e-03
1.387369368217271359e-01 -2.207187505907574343e-01 2.060227693662836784e-03
1.437771568367588737e-01 -2.206135334412304971e-01 2.213939146022037181e-03
1.488067405658830000e-01 -2.205045846648357732e-01 2.373002132710169167e-03
1.538253214719055850e-01 -2.203919142851746282e-01 2.537391452490418784e-03
1.588325344136168604e-01 -2.202755326607334641e-01 2.707081071665081058e-03
1.638280156926458231e-01 -2.201554504831607639e-01 2.882044129402934387e-03
1.688114031002003468e-01 -2.200316787754884595e-01 3.062252943241710549e-03
1.737823359636469223e-01 -2.199042288902982867e-01 3.247679014765068352e-03
1.787404551929419882e-01 -2.197731125078330183e-01 3.438293035453360551e-03
1.836854033269297859e-01 -2.196383416340532690e-01 3.634064892707529644e-03
1.886168245794643539e-01 -2.194999285986399817e-01 3.834963676045460759e-03
1.935343648853535270e-01 -2.193578860529429297e-01 4.040957683469975463e-03
1.984376719461729000e-01 -2.192122269678757618e-01 4.252014428007704940e-03
2.033263952758438964e-01 -2.190629646317577561e-01 4.468100644418043256e-03
2.082001862460680641e-01 -2.189101126481027282e-01 4.689182296071246585e-03
2.130586981315652773e-01 -2.187536849333555911e-01 4.915224581994824885e-03
2.179015861551012456e-01 -2.185936957145767356e-01 5.146191944087325290e-03
2.227285075323006958e-01 -2.184301595270747576e-01 5.382048074498455535e-03
2.275391215162804737e-01 -2.182630912119880584e-01 5.622755923174516980e-03
2.323330894420363169e-01 -2.180925059138155153e-01 5.868277705568154118e-03
2.371100747706045286e-01 -2.179184190778968577e-01 6.118574910511254822e-03
2.418697431330028569e-01 -2.177408464478431116e-01 6.373608308249828665e-03
2.466117623739292330e-01 -2.175598040629175833e-01 6.633337958639711450e-03
2.513358025951904495e-01 -2.173753082553678551e-01 6.897723219501840884e-03
2.560415361989012428e-01 -2.171873756477093464e-01 7.166722755135763318e-03
2.607286379303995760e-01 -2.169960231499608039e-01 7.440294544990030609e-03
2.653967849209171170e-01 -2.168012679568324386e-01 7.718395892488156586e-03
2.700456567299214239e-01 -2.166031275448669080e-01 8.000983434008674192e-03
2.746749353872092736e-01 -2.164016196695340843e-01 8.288013148017676565e-03
2.792843054347068366e-01 -2.161967623622798318e-01 8.579440364352418705e-03
2.838734539679237390e-01 -2.159885739275294869e-01 8.875219773654336938e-03
2.884420706771491649e-01 -2.157770729396466525e-01 9.175305436949813057e-03
2.929898478882752011e-01 -2.155622782398477766e-01 9.479650795377004766e-03
2.975164806033163689e-01 -2.153442089330731002e-01 9.788208680056918395e-03
3.020216665405938694e-01 -2.151228843848148331e-01 1.010093132210691108e-02
3.065051061745505123e-01 -2.148983242179028086e-01 1.041777036279478361e-02
3.109665027752232525e-01 -2.146705483092485323e-01 1.073867686383145337e-02
3.154055624473521280e-01 -2.144395767865481528e-01 1.106360131780024895e-02
3.198219941690913504e-01 -2.142054300249450483e-01 1.139249365872072907e-02
3.242155098303757810e-01 -2.139681286436526386e-01 1.172530327274491808e-02
3.285858242708478705e-01 -2.137276935025381464e-01 1.206197900898380547e-02
3.329326553174126180e-01 -2.134841456986680264e-01 1.240246919046182617e-02
3.372557238213625408e-01 -2.132375065628157040e-01 1.274672162519702168e-02
3.415547536950813146e-01 -2.129877976559324260e-01 1.309468361740446368e-02
3.458294719483466229e-01 -2.127350407655818620e-01 1.344630197882058092e-02
3.500796087241290211e-01 -2.124792579023392636e-01 1.380152304014594690e-02
3.543048973339893992e-01 -2.122204712961558437e-01 1.416029266260381871e-02
3.585050742929926093e-01 -2.119587033926892683e-01 1.452255624961183364e-02
3.626798793541727295e-01 -2.116939768496010899e-01 1.488825875856426145e-02
3.668290555424810750e-01 -2.114263145328215132e-01 1.525734471272206620e-02
3.709523491882682489e-01 -2.111557395127828529e-01 1.562975821320788591e-02
3.750495099602568772e-01 -2.108822750606220153e-01 1.600544295110308685e-02
3.791202908980019215e-01 -2.106059446443532268e-01 1.638434221964394852e-02
3.831644484438363474e-01 -2.103267719250114243e-01 1.676639892651400621e-02
3.871817424742626801e-01 -2.100447807527676125e-01 1.715155560622944400e-02
3.911719363308479025e-01 -2.097599951630166326e-01 1.753975443261438991e-02
3.951347968505133368e-01 -2.094724393724385070e-01 1.793093723136303386e-02
3.990700943953014446e-01 -2.091821377750340272e-01 1.832504549268521021e-02
4.029776028815502675e-01 -2.088891149381355561e-01 1.872202038403216265e-02
4.068570998084904411e-01 -2.085933955983941268e-01 1.912180276289909484e-02
4.107083662862663354e-01 -2.082950046577433101e-01 1.952433318970111381e-02
4.145311870633217044e-01 -2.079939671793412659e-01 1.992955194071906883e-02
4.183253505532081307e-01 -2.076903083834915065e-01 2.033739902111170866e-02
4.220906488607416573e-01 -2.073840536435435644e-01 2.074781417799055616e-02
4.258268778075541827e-01 -2.070752284817743705e-01 2.116073691355381883e-02
4.295338369569797754e-01 -2.067638585652514238e-01 2.157610649827564411e-02
4.332113296383151013e-01 -2.064499697016786151e-01 2.199386198414686119e-02
4.368591629704065560e-01 -2.061335878352258122e-01 2.241394221796353184e-02
4.404771478845558308e-01 -2.058147390423428202e-01 2.283628585465935848e-02
4.440650991467600117e-01 -2.054934495275592410e-01 2.326083137067798054e-02
4.476228353792587322e-01 -2.051697456192707880e-01 2.368751707738117607e-02
4.511501790813851054e-01 -2.048436537655133893e-01 2.411628113448898228e-02
4.546469566497054471e-01 -2.045152005297258546e-01 2.454706156354760638e-02
4.581129983974621678e-01 -2.041844125865022730e-01 2.497979626142112289e-02
4.615481385732424502e-01 -2.038513167173349738e-01 2.541442301380272828e-02
4.649522153789743539e-01 -2.035159398063493275e-01 2.585087950874126114e-02
4.683250709871448758e-01 -2.031783088360313849e-01 2.628910335017884542e-02
4.716665515572786571e-01 -2.028384508829491617e-01 2.672903207149547947e-02
4.749765072516342612e-01 -2.024963931134687589e-01 2.717060314905607454e-02
4.782547922501867999e-01 -2.021521627794666265e-01 2.761375401575560593e-02
4.815012647647817778e-01 -2.018057872140386066e-01 2.805842207455816126e-02
4.847157870525387047e-01 -2.014572938272069791e-01 2.850454471202537587e-02
4.878982254284518483e-01 -2.011067101016267844e-01 2.895205931182980377e-02
4.910484502772075599e-01 -2.007540635882920643e-01 2.940090326824884581e-02
4.941663360641742608e-01 -2.003993819022435452e-01 2.985101399963469709e-02
4.972517613456209906e-01 -2.000426927182784864e-01 3.030232896185582753e-02
5.003046087780829154e-01 -1.996840237666639706e-01 3.075478566170556510e-02
5.033247651269151524e-01 -1.993234028288545789e-01 3.120832167027320220e-02
5.063121212740314681e-01 -1.989608577332157013e-01 3.166287463627300708e-02
5.092665722247985416e-01 -1.985964163507533686e-01 3.211838229932671013e-02
5.121880171140943405e-01 -1.982301065908518012e-01 3.257478250319492674e-02
