# 
# U bar array from C:\Users\sethw\OneDrive\PythonFiles\grav_soliton\scripts\seth_temp\first_version.py
# 
# Max zeta: 25
# Zeta intervals: 3000
# Delta: 0.008330556481172943
# Epsilon convergence tolerance: 1e-06
# Specific zeta_s: 0.7
# Zeta_s_array: [0.01 0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65
#  0.7 ]
# Epsilon array: [-0.16339988 -0.16601336 -0.16950269 -0.17327287 -0.17737044 -0.18185345
#  -0.18679537 -0.1922966  -0.19849181 -0.20557409 -0.21383038 -0.22372157
#  -0.23606609 -0.25256712 -0.27806394]
# 
# u_bar,  A,  B
#     
0.000000000000000000e+00 -2.221164259182145939e-01 0.000000000000000000e+00
4.321077755848405123e-03 -2.221160719311500997e-01 2.970706346702929068e-06
8.641931979582866477e-03 -2.221120392879266936e-01 8.911853206211800636e-06
1.296233915871067288e-02 -2.221053184958915183e-01 1.881304857641444067e-05
1.728207581983929805e-02 -2.220959099872685527e-01 3.267319107830692158e-05
2.160091854833694203e-02 -2.220838143695732236e-01 5.049074602253471534e-05
2.591864400788783038e-02 -2.220690324235874424e-01 7.226374128123986445e-05
3.023502896007497845e-02 -2.220515651032667903e-01 9.798976716721496754e-05
3.454985028393751240e-02 -2.220314135356694640e-01 1.276659766984120938e-04
3.886288499553124803e-02 -2.220085790208495558e-01 1.612890859778208443e-04
4.317391026748311489e-02 -2.219830630317198294e-01 1.988553746472743644e-04
4.748270344852978386e-02 -2.219548672138890177e-01 2.403606864061426547e-04
5.178904208305844942e-02 -2.219239933854761371e-01 2.858004295923450492e-04
5.609270393061376037e-02 -2.218904435369033756e-01 3.351695778249480073e-04
6.039346698542322894e-02 -2.218542198306679980e-01 3.884626707080219535e-04
6.469110949588277593e-02 -2.218153246010939883e-01 4.456738145955816896e-04
6.898540998403744628e-02 -2.217737603540633484e-01 5.067966834175580094e-04
7.327614726504959319e-02 -2.217295297667274401e-01 5.718245195667243531e-04
7.756310046664581515e-02 -2.216826356871983705e-01 6.407501348465125804e-04
8.184604904855276308e-02 -2.216330811342205331e-01 7.135659114796538954e-04
8.612477282189795469e-02 -2.215808692968223859e-01 7.902638031776322916e-04
9.039905196860650860e-02 -2.215260035339484401e-01 8.708353362708104927e-04
9.466866706075890980e-02 -2.214684873740717097e-01 9.552716108991981397e-04
9.893339907995064852e-02 -2.214083245147863421e-01 1.043563302263795112e-03
1.031930294365905748e-01 -2.213455188223809600e-01 1.135700661938408721e-03
1.074473399892178077e-01 -2.212800743313922125e-01 1.231673519241882316e-03
1.116961130637538629e-01 -2.212119952441390924e-01 1.331471282670628961e-03
1.159391314727583333e-01 -2.211412859302376854e-01 1.435082941391415410e-03
1.201761785346128902e-01 -2.210679509260966846e-01 1.542497066794248830e-03
1.244070380927202735e-01 -2.209919949343935042e-01 1.653701814105282145e-03
1.286314945346446192e-01 -2.209134228235312691e-01 1.768684924059640839e-03
1.328493328112101413e-01 -2.208322396270765708e-01 1.887433724634036362e-03
1.370603384555986737e-01 -2.207484505431781263e-01 2.009935132839058350e-03
1.412642976023681662e-01 -2.206620609339664252e-01 2.136175656571002134e-03
1.454609970064836277e-01 -2.205730763249343918e-01 2.266141396523137837e-03
1.496502240622480662e-01 -2.204815024042990901e-01 2.399818048156269080e-03
1.538317668222379253e-01 -2.203873450223446662e-01 2.537190903728385894e-03
1.580054140161865073e-01 -2.202906101907465275e-01 2.678244854383314728e-03
1.621709550698056113e-01 -2.201913040818768152e-01 2.822964392298209831e-03
1.663281801235834967e-01 -2.200894330280913358e-01 2.971333612889673521e-03
1.704768800515216176e-01 -2.199850035209978960e-01 3.123336217078376536e-03
1.746168464798313336e-01 -2.198780222107063198e-01 3.278955513611981135e-03
1.787478718055743043e-01 -2.197684959050600073e-01 3.438174421446190451e-03
1.828697492152436543e-01 -2.196564315688493696e-01 3.600975472183717656e-03
1.869822727033132459e-01 -2.195418363230069170e-01 3.767340812570957233e-03
1.910852370907033804e-01 -2.194247174437845282e-01 3.937252207052184885e-03
1.951784380432165233e-01 -2.193050823619125400e-01 4.110691040381034972e-03
1.992616720898895410e-01 -2.191829386617411279e-01 4.287638320289039080e-03
2.033347366413093271e-01 -2.190582940803638134e-01 4.468074680211001938e-03
2.073974300078377797e-01 -2.189311565067233456e-01 4.651980382066957936e-03
2.114495514177913982e-01 -2.188015339807000692e-01 4.839335319100439813e-03
2.154909010355536003e-01 -2.186694346921828069e-01 5.030119018772807524e-03
2.195212799796083802e-01 -2.185348669801224497e-01 5.224310645713357154e-03
2.235404903405238120e-01 -2.183978393315683109e-01 5.421889004724950514e-03
2.275483351988320802e-01 -2.182583603806874106e-01 5.622832543844879204e-03
2.315446186428579967e-01 -2.181164389077667465e-01 5.827119357460585833e-03
2.355291457864785165e-01 -2.179720838381987991e-01 6.034727189480022964e-03
2.395017227867626830e-01 -2.178253042414501905e-01 6.245633436556266398e-03
2.434621568615916165e-01 -2.176761093300138838e-01 6.459815151366041057e-03
2.474102563071488292e-01 -2.175245084583448951e-01 6.677249045941895805e-03
2.513458305153308259e-01 -2.173705111217795471e-01 6.897911495057583095e-03
2.552686899911033036e-01 -2.172141269554386800e-01 7.121778539666289570e-03
2.591786463697269838e-01 -2.170553657331148467e-01 7.348825890391376750e-03
2.630755124339287376e-01 -2.168942373661434386e-01 7.579028931069225865e-03
2.669591021309384860e-01 -2.167307519022581563e-01 7.812362722343773117e-03
2.708292305894784979e-01 -2.165649195244308545e-01 8.048802005312308619e-03
2.746857141366090826e-01 -2.163967505496959542e-01 8.288321205222137431e-03
2.785283703145145506e-01 -2.162262554279595350e-01 8.530894435217649049e-03
2.823570178971529510e-01 -2.160534447407932157e-01 8.776495500137364292e-03
2.861714769068233188e-01 -2.158783292002131871e-01 9.025097900360478168e-03
2.899715686306091889e-01 -2.157009196474442558e-01 9.276674835702424307e-03
2.937571156367229097e-01 -2.155212270516693174e-01 9.531199209358956134e-03
2.975279417907402690e-01 -2.153392625087643120e-01 9.788643631898252123e-03
3.012838722717033901e-01 -2.151550372400189426e-01 1.004898042530055768e-02
3.050247335881273170e-01 -2.149685625908430708e-01 1.031218162704474958e-02
3.087503535938818100e-01 -2.147798500294593183e-01 1.057821899424137187e-02
3.124605615039340867e-01 -2.145889111455818177e-01 1.084706400781158646e-02
3.161551879099782081e-01 -2.143957576490812533e-01 1.111868787671136706e-02
3.198340647959548311e-01 -2.142004013686366615e-01 1.139306154220036740e-02
3.234970255534207473e-01 -2.140028542503739084e-01 1.167015568215500412e-02
3.271439049967775903e-01 -2.138031283564910956e-01 1.194994071542505691e-02
3.307745393783746990e-01 -2.136012358638710307e-01 1.223238680623306776e-02
3.343887664034986273e-01 -2.133971890626813195e-01 1.251746386861598941e-02
3.379864252451685314e-01 -2.131910003549617183e-01 1.280514157090841681e-02
3.415673565588567828e-01 -2.129826822531994679e-01 1.309538934026669398e-02
3.451314024969985850e-01 -2.127722473788923874e-01 1.338817636723333045e-02
3.486784067233788531e-01 -2.125597084611001164e-01 1.368347161034087420e-02
3.522082144273862570e-01 -2.123450783349840332e-01 1.398124380075449827e-02
3.557206723380987312e-01 -2.121283699403354317e-01 1.428146144695275309e-02
3.592156287381940150e-01 -2.119095963200925969e-01 1.458409283944567432e-02
3.626929334777220792e-01 -2.116887706188469720e-01 1.488910605552938062e-02
3.661524379877190150e-01 -2.114659060813384728e-01 1.519646896407646566e-02
3.695939952936338480e-01 -2.112410160509403112e-01 1.550614923036145766e-02
3.730174600285923181e-01 -2.110141139681335209e-01 1.581811432092039213e-02
3.764226884465301515e-01 -2.107852133689713803e-01 1.613233150844373479e-02
3.798095384350873571e-01 -2.105543278835340371e-01 1.644876787670198140e-02
3.831778695283618030e-01 -2.103214712343734194e-01 1.676739032550284697e-02
3.865275429195023649e-01 -2.100866572349489036e-01 1.708816557567927052e-02
3.898584214730690389e-01 -2.098498997880537675e-01 1.741106017410743584e-02
3.931703697372559980e-01 -2.096112128842327060e-01 1.773604049875382102e-02
3.964632539558962665e-01 -2.093706106001908540e-01 1.806307276375036103e-02
3.997369420803033591e-01 -2.091281070971943157e-01 1.839212302449687655e-02
4.029913037808850462e-01 -2.088837166194625339e-01 1.872315718278979788e-02
4.062262104586019107e-01 -2.086374534925527768e-01 1.905614099197625380e-02
4.094415352561748267e-01 -2.083893321217369643e-01 1.939104006213254391e-02
4.126371530691452238e-01 -2.081393669903710830e-01 1.972781986526600875e-02
4.158129405566839409e-01 -2.078875726582576355e-01 2.006644574053924671e-02
4.189687761522513099e-01 -2.076339637600010668e-01 2.040688289951577902e-02
4.221045400739746323e-01 -2.073785550033566127e-01 2.074909643142620191e-02
4.252201143348639523e-01 -2.071213611675728206e-01 2.109305130845360796e-02
4.283153827528067836e-01 -2.068623971017280738e-01 2.143871239103733312e-02
4.313902309603182550e-01 -2.066016777230612056e-01 2.178604443319401285e-02
4.344445464141029611e-01 -2.063392180152966437e-01 2.213501208785481275e-02
4.374782184043681799e-01 -2.060750330269643105e-01 2.248557991221775479e-02
4.404911380639362495e-01 -2.058091378697145257e-01 2.283771237311414681e-02
4.434831983770743391e-01 -2.055415477166281923e-01 2.319137385238786986e-02
4.464542941881974869e-01 -2.052722778005226512e-01 2.354652865228639216e-02
4.494043222102110935e-01 -2.050013434122533174e-01 2.390314100086264951e-02
4.523331810327150260e-01 -2.047287598990114033e-01 2.426117505738636243e-02
4.552407711299175652e-01 -2.044545426626182272e-01 2.462059491776379117e-02
4.581269948683135973e-01 -2.041787071578160251e-01 2.498136461996473129e-02
4.609917565141494200e-01 -2.039012688905559867e-01 2.534344814945555663e-02
4.638349622405886774e-01 -2.036222434162833772e-01 2.570680944463716797e-02
4.666565201347055991e-01 -2.033416463382204664e-01 2.607141240228661588e-02
4.694563402041384559e-01 -2.030594933056470985e-01 2.643722088300140549e-02
4.722343343835464502e-01 -2.027758000121794857e-01 2.680419871664497730e-02
4.749904165408163625e-01 -2.024905821940476136e-01 2.717230970779224708e-02
4.777245024829824271e-01 -2.022038556283712318e-01 2.754151764117417078e-02
4.804365099618945756e-01 -2.019156361314349279e-01 2.791178628712000578e-02
4.831263586796223919e-01 -2.016259395569624246e-01 2.828307940699599163e-02
4.857939702935989978e-01 -2.013347817943907381e-01 2.865536075863912499e-02
4.884392684215251301e-01 -2.010421787671441696e-01 2.902859410178494290e-02
4.910621786459485327e-01 -2.007481464309085473e-01 2.940274320348807216e-02
4.936626285186369589e-01 -2.004527007719059395e-01 2.977777184353424048e-02
4.962405475646139430e-01 -2.001558578051702841e-01 3.015364381984250372e-02
4.987958672859854059e-01 -1.998576335728240450e-01 3.053032295385637793e-02
5.013285211654417983e-01 -1.995580441423564222e-01 3.090777309592267902e-02
5.038384446695133301e-01 -1.992571056049032840e-01 3.128595813065682130e-02
5.063255752515296582e-01 -1.989548340735289855e-01 3.166484198229320424e-02
5.087898523543146201e-01 -1.986512456815106853e-01 3.204438862001960514e-02
5.112312174125668296e-01 -1.983463565806252438e-01 3.242456206329407536e-02
5.136496138550240564e-01 -1.980401829394390079e-01 3.280532638714320909e-02
5.160449871062482430e-01 -1.977327409416008708e-01 3.318664572744057378e-02
5.184172845882194514e-01 -1.974240467841388569e-01 3.356848428616385216e-02
5.207664557215773149e-01 -1.971141166757606478e-01 3.395080633662952985e-02
5.230924519266152428e-01 -1.968029668351581329e-01 3.433357622870383818e-02
5.253952266239716451e-01 -1.964906134893164291e-01 3.471675839398876556e-02
5.276747352350096287e-01 -1.961770728718274237e-01 3.510031735098198546e-02
5.299309351819097014e-01 -1.958623612212085918e-01 3.548421771020901505e-02
5.321637858875419846e-01 -1.955464947792271979e-01 3.586842417932656346e-02
5.343732487749437432e-01 -1.952294897892299097e-01 3.625290156819607063e-02
5.365592872665645441e-01 -1.949113624944783796e-01 3.663761479392595860e-02
5.387218667832047725e-01 -1.945921291364910433e-01 3.702252888588130481e-02
5.408609547426582731e-01 -1.942718059533914965e-01 3.740760899065980610e-02
5.429765205580628917e-01 -1.939504091782634776e-01 3.779282037703281943e-02
5.450685356359531442e-01 -1.936279550375130665e-01 3.817812844085026469e-02
5.471369733740081287e-01 -1.933044597492382111e-01 3.856349870990805756e-02
5.491818091585487505e-01 -1.929799395216058866e-01 3.894889684877702457e-02
5.512030203616605784e-01 -1.926544105512371374e-01 3.933428866359209991e-02
5.532005863381008748e-01 -1.923278890216003900e-01 3.971964010680047868e-02
5.551744884218612341e-01 -1.920003911014132869e-01 4.010491728186768579e-02
5.571247099224541088e-01 -1.916719329430531249e-01 4.049008644794038075e-02
5.590512361209026837e-01 -1.913425306809765358e-01 4.087511402446471209e-02
5.609540542654370965e-01 -1.910122004301484377e-01 4.125996659575910386e-02
5.628331535668901209e-01 -1.906809582844804229e-01 4.164461091554045452e-02
5.646885251937985295e-01 -1.903488203152791103e-01 4.202901391140246440e-02
5.665201622672274562e-01 -1.900158025697045727e-01 4.241314268924512021e-02
5.683280598552760132e-01 -1.896819210692392288e-01 4.279696453765416408e-02
5.701122149673323314e-01 -1.893471918081673089e-01 4.318044693222956171e-02
5.718726265479885384e-01 -1.890116307520652572e-01 4.356355753986189405e-02
5.736092954707203706e-01 -1.886752538363032639e-01 4.394626422295565271e-02
5.753222245312236138e-01 -1.883380769645581487e-01 4.432853504359844654e-02
5.770114184405094049e-01 -1.880001160073379030e-01 4.471033826767512043e-02
5.786768838176652441e-01 -1.876613868005182206e-01 4.509164236892566208e-02
5.803186291824211640e-01 -1.873219051438911598e-01 4.547241603294605722e-02
5.819366649473025621e-01 -1.869816867997260434e-01 4.585262816113134382e-02
5.835310034096207188e-01 -1.866407474913430453e-01 4.623224787455953999e-02
5.851016587431243643e-01 -1.862991029016997369e-01 4.661124451781577943e-02
5.866486469893815725e-01 -1.859567686719904855e-01 4.698958766275583565e-02
5.881719860488916485e-01 -1.856137604002592034e-01 4.736724711220809125e-02
5.896716956719092462e-01 -1.852700936400257514e-01 4.774419290361299473e-02
5.911477974490433329e-01 -1.849257838989259717e-01 4.812039531259927616e-02
5.926003148015183131e-01 -1.845808466373656531e-01 4.849582485649629737e-02
5.940292729712202124e-01 -1.842352972671885414e-01 4.887045229778158584e-02
5.954346990104381065e-01 -1.838891511503588094e-01 4.924424864746280994e-02
5.968166217713883892e-01 -1.835424235976581830e-01 4.961718516839339066e-02
5.981750718954449431e-01 -1.831951298673975825e-01 4.998923337852129861e-02
5.995100818021068534e-01 -1.828472851641438357e-01 5.036036505407017611e-02
6.008216856777529591e-01 -1.824989046374614898e-01 5.073055223265209718e-02
6.021099194640945340e-01 -1.821500033806699170e-01 5.109976721631147301e-02
6.033748208464132512e-01 -1.818005964296159627e-01 5.146798257449945041e-02
6.046164292415405761e-01 -1.814506987614620537e-01 5.183517114697819977e-02
6.058347857855768126e-01 -1.811003252934903496e-01 5.220130604665457197e-02
6.070299333214156379e-01 -1.807494908819227142e-01 5.256636066234256222e-02
6.082019163859662125e-01 -1.803982103207568688e-01 5.293030866145412988e-02
6.093507811972138644e-01 -1.800464983406189767e-01 5.329312399261779132e-02
6.104765756409996635e-01 -1.796943696076324648e-01 5.365478088822477065e-02
6.115793492575735124e-01 -1.793418387223035537e-01 5.401525386690211872e-02
6.126591532279586083e-01 -1.789889202184234140e-01 5.437451773591234216e-02
